name,price,style,switches,backlit,tenkeyless,connection_type,color
Dell 0DJ415,,Standard,,,false,Wired,Black
A4Tech G800V,,Gaming,,,false,Wired,Black
Gigabyte GK-OSMIUM,,Gaming,Cherry MX Red,Blue,false,Wired,Black
Kensington K64370A,16.99,Standard,,,false,Wired,Black
V7 KC0A2-4L3P Keyboard,19.48,Standard,,,false,Wired,Black
Corsair Vengeance K70,,Gaming,Cherry MX Red,Blue,false,Wired,Silver
Corsair Vengeance K95,,Gaming,Cherry MX Red,Blue,false,Wired,Black
Ducky DK1008-KEALB,,Gaming,ALPS Black,,false,Wired,Black
Samsung Keyboard,,Slim,,,true,Bluetooth Wireless,Black
Microsoft Sculpt Comfort Keyboard for Business,,Ergonomic,,,false,Wireless,Black
Adesso Antimicrobial Waterproof Flex Keyboard,17.98,Slim,,,true,Wired,Black
Dell 469-4060,,Standard,,,false,Wired,Black
Ducky DK9087 Shine 3 TKL White LED Backlit (Brown Cherry MX),,Standard,Cherry MX Brown,White,true,Wired,Black
Razer Nostromo,,Gaming,,Blue,true,Wired,Black
Thermaltake eSPORTS MEKA U-UNIT Combat White,,Gaming,Cherry MX Black,,false,Wired,White
A4Tech KRS-85,,Standard,,,false,Wired,Black
Cooler Master CM Storm Devastator Gaming Bundle,,Gaming,,Blue,false,Wired,Black
Logitech Corded Keyboard K280e,,Standard,,,false,Wired,Black
Corsair Vengeance K70 RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Cherry MX-Board 3.0 Keyboard,,Standard,Cherry MX Brown,,false,Wired,Black
Mad Catz S.T.R.I.K.E.M,,Gaming,,White,true,Bluetooth Wireless,Black / Red
Rii Mini i8,,Mini,,,true,Wireless,Black / White
Kensington K72402US,42.08,Standard,,,false,Wired,Black
G.Skill Ripjaws KM780 MX,,Gaming,Cherry MX Brown,Red,false,Wired,Black
Corsair STRAFE RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
G.Skill RIPJAWS KM780 RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Razer BlackWidow Chroma Call of Duty: Black Ops III Edition,,Gaming,Razer Green,RGB,false,Wired,Black
Xtrfy XG1-R-LED-UK,,Standard,Cherry MX Red,White,false,Wired,Black
Cooler Master Devastator II,,Gaming,,Red,false,Wired,Black
Varmilo VA87MNN/EBW3,,Standard,Cherry MX Brown,,true,Wired,Black / White
Razer BlackWidow Chroma V2,,Gaming,Razer Orange,RGB,false,Wired,Black
Redragon K555 INDRAH RGB,,Gaming,Outemu Blue,RGB,false,Wired,Black
HP HyperX Alloy FPS,,Standard,Cherry MX Blue,Red,false,Wired,Black
ROCCAT SOVA MK,,Gaming,TTC Brown,Blue,true,Wired,Black
Alienware AW768,,Gaming,Kailh Brown,RGB,false,Wired,Silver
SteelSeries Apex M750,,Gaming,SteelSeries QX2 Red,RGB,false,Wired,Black
Redragon K561 VISNU,,Gaming,Outemu Blue,RGB,true,Wired,Black
Corsair K70 LUX RGB,,Gaming,Cherry MX Silent,RGB,false,Wired,Black
Razer Orbweaver Chroma Elite RGB Gaming Keypad,,Gaming,Razer Green,RGB,true,Wired,Black
Ducky Shine 6,,Standard,Cherry MX Blue,,false,Wired,Black
HP HyperX Alloy Elite,,Gaming,Cherry MX Red,Red,false,Wired,Black
Corsair K63 Special Edition (MX Red),,Gaming,Cherry MX Red,Blue,true,Wireless,
Redragon K552-N,,Standard,Outemu Blue,,true,Wired,Black
Ducky Shine 7 RGB,,Standard,Cherry MX Brown,RGB,false,Wired,Gray
Asus TUF GAMING K5,,Gaming,,RGB,false,Wired,Black
Redragon K582-BA,,Standard,Outemu Red,RGB,false,Wired,Black
Redragon K551-R,,Gaming,Outemu Blue,RGB,false,Wired,Black
Drevo Tyrfing V2,,Gaming,Outemu Brown,RGB,false,Wired,Black
Aula Dzi SI-862,,Gaming,,Multicolor,false,Wired,Black
Microsoft 800,,Slim,,,false,Wireless,Black
Trust GXT 860 Thura,,Gaming,,RGB,false,Wired,Black
SolidTek ACK-540ALU,65,Standard,,,false,Wired,Black
SteelSeries Apex 7 TKL,,Gaming,SteelSeries QX2 Brown,RGB,true,Wired,Black
DROP CTRL,,Gaming,Kailh Silver Speed,RGB,true,Wired,Silver / Black
Asus ROG Strix Flare,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Kensington Pro Fit Ergo Bundle,56.63,Ergonomic,,,false,Wireless,Gray
Cherry MX Board 5.0,,Gaming,Cherry MX Silent Red,White,false,Wired,Black / Silver
Ducky Ducky One 2,,Gaming,Cherry MX Brown,Blue,true,Wired,Black
AUKEY KM-G12,,Gaming,Outemu Blue,RGB,false,Wired,Black
Cherry MX BOARD 1.0 BACKLIGHT,,Standard,Cherry MX Silent Red,White,false,Wired,Black
Wooting Wooting Two,,Gaming,Flaretech Black,RGB,false,Wired,Black
Cooler Master SK653,,Gaming,TTC Red Low Profile,RGB,false,Bluetooth Wireless,White / Silver
Keychron K2 Hot-swappable,,Gaming,Gateron Red,RGB,true,Wireless,Black / White
Corsair K70 RGB PRO,,Gaming,Corsair OPX,RGB,false,Wired,White
Corsair K65 RGB MINI Ethereal Blue,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Blue / White
Logitech G715,,Gaming,GX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Keychron K5 SE,,Slim,Keychron Optical Brown Low Profile,White,false,"Wired, Bluetooth Wireless",Black / Gray
Keychron V6 QMK,,Standard,Keychron K Pro Red,,false,"Wired, Wired",Black
Redragon KALA K557,,Gaming,Outemu Blue,RGB,false,Wired,Black
Ducky ONE 3,,Gaming,Cherry MX Clear RGB,RGB,false,Wired,Black
Keychron K6,,Standard,Gateron G Pro Red,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron K6,,Standard,Gateron G Pro Brown,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron K6 Aluminum Frame,,Standard,Gateron G Pro Brown Hot-swappable,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron K3 Max,,Standard,Gateron Low-Profile Red,White,true,"Wired, Bluetooth Wireless",Gray
Keychron K3 Max,,Standard,Gateron Low-Profile Brown,White,true,"Wired, Bluetooth Wireless",Gray
Razer Ornata V3,,Gaming,,RGB,false,Wired,Black
Corsair K55 CORE RGB,,Gaming,,RGB,false,Wired,Gray / Black
Cooler Master CK550 V2,,Gaming,TTC Red,RGB,false,Wired,Black
Inland ProHT,45.62,Gaming,Outemu Blue,Multicolor,false,,Black
SteelSeries Apex Pro Mini,,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Logitech Pebble 2,59.99,Standard,,,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech MK540 Advanced,,Standard,,,false,"Wired, Wireless",Black
NZXT Function 2,,Gaming,NZXT Swift Optical 40g,RGB,false,"Wired, Wired",Black
IQUNIX F97 Hitchhiker,,Gaming,Cherry MX Blue,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
IQUNIX OG80 Dark Side,,Gaming,TTC Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
IQUNIX L80 Formula,,Gaming,Cherry MX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Black
Keychron K5 Max,,Standard,Gateron Low-Profile Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black / Gray
Keychron K5 Max,,Standard,Gateron Low-Profile Brown (Hot-Swappable),RGB,false,,Black / Gray
Logitech G915 LIGHTSPEED TKL,,Gaming,Logitech Low-Profile GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Silver
Cooler Master SK653,120.79,Gaming,TTC Brown Low Profile,RGB,false,Bluetooth Wireless,Gray / Black
Cherry Compact 11900 Series,226.99,Standard,,,false,Wired,Gray
Keychron K5 Pro,,Gaming,Gateron Low-Profile Red (Hot-Swappable),RGB,false,"Wired, Bluetooth Wireless",White
Logitech G915 X,,Gaming,Logitech GL Tactile,RGB,false,Wired,Black
Kensington K755,29.99,Standard,,,true,"Wired, Wireless, Bluetooth Wireless",Silver
Logitech G515 LIGHTSPEED,,Gaming,GL Tactile V2,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Adesso AKB-110B,29.99,Mini,,,true,Wired,Black
A4Tech 3100N,,Standard,,,false,Wireless,Black
Adesso Tru-Form Media 1500,54.99,Ergonomic,,,false,Wireless,Black
Ducky Ducky One 2 SF RGB,,Gaming,Cherry MX Blue,RGB,true,Wired,Black
Logitech G715,,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Keychron C1 Pro V1 Hotswap,,Standard,Keychron K Pro Brown,RGB,true,Wired,Black / Gray
Rosewill BLITZ K50 RGB,69,Gaming,Outemu Blue,RGB,false,Wired,Black / Silver
Logitech G915 LIGHTSPEED TKL,,Gaming,Logitech Low-Profile GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G915 X LIGHTSPEED,,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Anker T300,35.95,Slim,,,false,Bluetooth Wireless,Black
Razer BlackWidow X Tournament Edition Chroma,,Gaming,Razer Green,RGB,true,Wired,Black
Cooler Master CK530,119.99,Gaming,Gateron Red,RGB,true,Wired,
EVGA Z10 (Kailh Brown),72.6,Gaming,Kailh Brown,Red,false,Wired,Black
Logitech G413 SE,,Gaming,Kailh LT Brown,White,true,Wired,Black
Logitech G715,,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman V3 Pro,,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Razer Huntsman V3 Pro Mini,,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Keychron K3 Pro,,Standard,Gateron Low-Profile Red (Hot-Swappable),RGB,true,"Wired, Bluetooth Wireless",Black
Keychron K5 Pro,,Gaming,Gateron Low-Profile Brown (Hot-Swappable),RGB,false,"Wired, Bluetooth Wireless",White
Razer Ornata V3,,Gaming,,RGB,false,Wired,Black
Razer Ornata V3,,Gaming,,RGB,false,Wired,Black
Adesso AKB-139EB,31.96,Gaming,,Blue,false,Wired,Black
Adesso WKB-1100BB,24.85,Standard,,,true,Bluetooth Wireless,Black
Logitech MK540 Advanced,,Standard,,,false,"Wired, Wireless",Black
IQUNIX OG80 Wormhole,159.97,Gaming,TTC Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Green
Cherry MX 10.0N,,Slim,Cherry MX Low Profile Speed Silver,RGB,false,Wired,Black
Logitech G515 LIGHTSPEED,,Gaming,GL Tactile V2,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Keychron Lemokey X0 QMK,,Gaming,Keychron Red,Red,true,Wired,Black
Adesso AKB-310UB,40.18,Mini,,,true,Wired,Black
Adesso WKB-4400UB,69.98,Standard,,,false,Wireless,Black
Logitech Wave Pro Desktop,409.28,Ergonomic,,,false,Wireless,Black
Kensington Advance Fit Full-Size Slim Keyboard,,Slim,,,false,Wired,Black
Adesso Waterproof Flex Keyboard,17.98,Slim,,,false,Wired,Black
Cooler Master Devastator 3,,Gaming,,Multicolor,false,Wired,Black
Verbatim VER99789,38.97,Standard,,White,false,Wired,Black
Ducky One 3 Matcha,114,Standard,Cherry MX Silent Red,,true,Wired,Beige / Green
Ducky ONE 3 AURA,,Gaming,Cherry MX Silent Red RGB,RGB,false,Wired,Black
Ducky ONE 3 Daybreak,,Gaming,Cherry MX Red RGB,RGB,false,Wired,Blue
SteelSeries Apex Pro TKL (2023),,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Razer Ornata V3,,Gaming,,RGB,false,Wired,Black
Corsair K55 CORE RGB,,Gaming,,RGB,false,Wired,Black
AZIO IZO,99.99,Standard,Gateron Red,,true,"Wired, Bluetooth Wireless",Yellow / Black
HP 300,,Standard,,,false,"Wired, Wireless",Black
Kensington K55115US,39.99,Standard,,,false,Wired,Black
Kensington K70316US,51.97,Standard,,,false,Wired,Black
Targus AKB30AMUS,,Standard,,,false,Wired,Black
SteelSeries Apex 9 TKL,,Gaming,SteelSeries OptiPoint Linear,RGB,true,Wired,Black
Logitech MK295 Silent,,Standard,,,false,"Wired, Wireless",White
IQUNIX F97 Graffiti Diary,,Gaming,TTC Gold Pink,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Multicolor
IQUNIX OG80 Dark Side,159.99,Gaming,IQUNIX Moonstone Turbo,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech Signature K650,,Standard,,,false,"Wireless, Bluetooth Wireless",Black
Microsoft ANB-00001,49.99,Slim,,,false,Wired,Black
Razer Anansi,,Gaming,,,false,Wired,Black
Logitech G510,,Gaming,,Multicolor,false,Wired,Black
Microsoft Wireless Desktop 3000,,Standard,,,false,Wireless,Black
Adesso AKB-410UB,48.99,Mini,,,true,Wired,Black
Adesso AKB-440UB,50.85,Slim,,,false,Wired,Black
Adesso ACK-595,29.99,Mini,,,true,Wired,White
Kensington Pro Fit Wireless Comfort Desktop Set,61.71,Standard,,,false,Wireless,Black
IBM 40K9584,,Standard,,,false,Wired,Black
Microsoft Comfort Desktop 5000 for Business,,Ergonomic,,,false,Wireless,Black
Logitech K750 Keyboard,54.99,Slim,,,false,Wireless,Silver / Black
Unitech K595U-B Mini POS Keyboards,,Mini,,,false,Wired,Black
Cooler Master Storm QuickFire Rapid,,Gaming,Cherry MX Red,,true,Wired,Black
AZIO Levetron Mech5,,Gaming,Cherry MX Black,,false,Wired,Black / Red
Filco Majestouch-2,,Standard,Cherry MX Brown,,true,Wired,Black
Cooler Master CM Storm QuickFire Rapid,,Gaming,Cherry MX Green,,true,Wired,Black
SteelSeries Apex [RAW],,Gaming,,White,false,Wired,Black
HP K3500,,Slim,,,false,Wireless,Black
Key Ovation Go!2 Mobile Keyboard - PC & Mac - USB,,Mini,,,true,Wired,Black
V7 Multimedia USB Keyboard Combo,,Standard,,,false,Wired,Black
Mad Catz S.T.R.I.K.E. 3 White,,Gaming,,,false,Wired,Black / White
Perixx PERIBOARD-512B,,Ergonomic,,,false,Wired,Black
Razer DeathStalker Ultimate,,Gaming,,,false,Wired,Black
Logitech Value 100,,Standard,,,false,Wired,Black
Genius KB-110X,,Standard,,,false,Wired,Black
Razer DeathStalker Essential,,Gaming,,,false,Wired,Black
Razer Tartarus,,Gaming,,Green,true,Wired,Black
GAMDIAS HERMES,,Gaming,Cherry MX Blue,Red,false,Wired,Black
Razer Blackwidow 2014,,Gaming,Razer Green,,false,Wired,Black
Microsoft N9Z-00001,,Slim,,,true,Wireless,Black
Topre Realforce 104UG High Profile,,Standard,Topre 45g,,false,Wired,Black / Gray
Cooler Master CM Storm Trigger Z,,Gaming,Cherry MX Blue,Blue,false,Wired,Black
Thermaltake CHALLENGER PRIME,,Gaming,,Multicolor,false,Wired,Black
SteelSeries Apex M800,,Gaming,SteelSeries QS1,RGB,false,Wired,Black
Turtle Beach IMPACT 100,,Gaming,,,false,Wired,Black / Red
Das Keyboard 4 Professional for Mac,179,Standard,Cherry MX Brown,,false,Wired,Black / Purple
Aula BE FIRE SI-859,,Gaming,,Multicolor,false,Wired,Black
Vortex POK3R,,Mini,Cherry MX Brown,,false,Wired,Black
Genius Scorpion K20,,Gaming,,RGB,false,Wired,Black
Microsoft Comfort Desktop 5050,69.95,Ergonomic,,,false,Wireless,Black
Logitech K380,33.99,Mini,,,true,Bluetooth Wireless,Black
Logitech K380,,Mini,,,true,Bluetooth Wireless,Blue
TekNmotion Nibiru CK1,33.54,Gaming,,Blue,false,Wired,Black
Ducky Ducky Shine 5 RGB,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Razer Turret Lapboard,,Slim,,,true,Wireless,Black / Green
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Brown,RGB,false,Wired,Black
Logitech G11,,Standard,,Blue,false,Wired,Black / Silver
EagleTec KG010,,Gaming,Outemu Blue,Blue,false,Wired,Black
1STPLAYER FIRE ROSE MK3,,Gaming,Outemu Blue,RGB,false,Wired,White
Razer Ornata,,Gaming,,Green,false,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Brown,,true,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Blue,,true,Wired,Black
SHARKOON Skiller Pro Plus,,Gaming,,Multicolor,false,Wired,Black
Asus ROG Claymore,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Trust GXT 280,,Gaming,,Multicolor,false,Wired,Black
Qisan CCDY003COOT7,,Mini,Cherry MX Blue,Blue,true,Wired,Silver
GALAX HOF Black Edition (MX Brown),,Gaming,Cherry MX Brown,White,false,Wired,Black
Asus ROG Horus GK2000 RGB UK,,Gaming,Cherry MX Red,RGB,false,Wired,
HP HyperX Alloy Elite RGB,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
HP HyperX Alloy Elite RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
EagleTec KG010-N,,Standard,Outemu Blue,,false,Wired,Black
Logitech G513 Carbon,,Gaming,Romer-G Linear,RGB,false,Wired,Black
SteelSeries Apex M750 TKL RGB,,Gaming,SteelSeries QX2 Red,RGB,true,Wired,Black
Ducky Rainbow One White,,Standard,Cherry MX Green,,true,Wired,White
Corsair K70 RGB MK.2,,Gaming,Cherry MX Silent,RGB,false,Wired,Black
Logitech G512 CARBON,,Gaming,Romer-G Linear,RGB,false,Wired,Black
Tecware Phantom RGB TKL,,Gaming,Outemu Brown,RGB,true,Wired,Black
Ducky One 2 Mini,,Standard,Cherry MX Black,RGB,true,Wired,White / Black
Ducky One 2 RGB TKL,,Standard,Cherry MX Silent,RGB,true,Wired,Black
Ducky One 2 RGB,,Standard,Cherry MX Brown,RGB,false,Wired,Black
Leopold FC980CEW,,Standard,Topre 45g,,false,Wired,Beige / Gray
Velocifire TKL02WS,,Standard,Outemu Brown,White,true,Wireless,Black
Cooler Master MK730,,Gaming,Cherry MX Blue,RGB,true,Wired,Black
Ducky ONE2 SKYLINE,,Gaming,Cherry MX Brown,,true,Wired,Black
MSI VIGOR GK40,,Gaming,,RGB,false,Wired,Black
Redragon K551-N,,Standard,Outemu Blue,,false,Wired,Black
Drevo Tyrfing V2,,Gaming,Outemu Red,RGB,false,Wired,Black
Logitech K375s,,Standard,,,false,Bluetooth Wireless,Black
Logitech G513 Carbon,,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Adesso AKB-133CB,31.8,Standard,,,false,Wired,Black
Microsoft QSZ-00001,64.98,Standard,,,false,Bluetooth Wireless,Black
DROP CTRL,,Gaming,Cherry MX Blue,RGB,true,Wired,Silver / Black
Asus ROG Strix Scope,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Thermaltake Level 20 RGB Titanium,149.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Silver / Black
Ducky Shine 7 Blackout RGB,,Gaming,Cherry MX Black,RGB,false,Wired,Black
Redragon K555-RGB,,Gaming,Outemu Blue,RGB,false,Wired,Black
Leopold FC750R Black PD,,Standard,Cherry MX Brown,,false,Wired,Black
Ducky Mecha Mini v2,,Mini,Cherry MX Brown,RGB,true,Wired,Black
Ducky Mecha Mini v2,,Mini,Cherry MX Silent Red,RGB,true,Wired,Black
Cherry MX BOARD 1.0 BACKLIGHT,,Standard,Cherry MX Brown,White,false,Wired,Black
Tempest K9,,Gaming,,RGB,false,Wired,Black
Wooting Wooting Two,,Gaming,Flaretech Red,RGB,false,Wired,Black
Asus TUF Gaming K7,,Gaming,Optical-mech Linear,RGB,false,Wired,Black
Corsair K65 RGB MINI BERRY WAVE,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Blue / White
MSI Vigor GK71 SONIC,,Gaming,MSI Sonic Red,RGB,false,Wired,Black / Silver
Cooler Master SK653,,Gaming,TTC Brown Low Profile,RGB,false,Bluetooth Wireless,White / Silver
Keychron K2 Hot-swappable,,Gaming,Gateron Blue,White,true,Wireless,Black / White
Razer BlackWidow V3 - BAPE Edition,,Gaming,Razer Green,RGB,false,Wired,Black / Green
Corsair K65 RGB MINI Pastel Twilight,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Purple / Pink
Logitech MX KEYS MINI,,Mini,,,true,"Wired, Wireless, Bluetooth Wireless",Silver
Keychron K5 SE,,Slim,Keychron Optical Red Low Profile,White,false,"Wired, Bluetooth Wireless",Black / Gray
Kinesis Gaming Freestyle Pro Quiet,169,Ergonomic Split,Cherry MX Silent Red,,true,Wired,Black
MSI ‎VIGOR GK71 SONIC BLUE,,Gaming,MSI Sonic Blue,RGB,false,Wired,Black
Keychron V6 QMK,,Standard,Keychron K Pro Red,,false,"Wired, Wired",Translucent Black
Keychron V6 QMK,,Standard,Keychron K Pro Brown,,false,"Wired, Wired",Translucent Black
Keychron V6 QMK,,Standard,Keychron K Pro Brown,,false,"Wired, Wired",Black
Razer BlackWidow V4 Pro,,Gaming,Razer Green,RGB,false,Wired,Black
DROP MDX-31827-11,,Gaming,Kailh Silver Speed,RGB,true,"Wired, Wired",Black
Keychron K8,,Standard,Gateron Red Optical Hot-swappable,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Corsair K70 MAX RGB ND,,Gaming,Corsair MGX Steel Grey,RGB,false,Wired,Black
Keychron C1 Pro V1,,Standard,Keychron K Pro Brown,White,true,Wired,Black / Gray
Keychron C2 Pro V1,,Standard,Keychron K Pro Red,White,false,Wired,Black / Gray
Ducky ONE 3,,Gaming,Cherry MX Speed Silver RGB,RGB,false,Wired,Black
Logitech G915 Lightspeed,,Gaming,Logitech GL Tactile,RGB,false,"Wireless, Bluetooth Wireless",Black
Keychron K6,,Standard,Gateron G Pro Blue Hot-swappable,White,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron Q1 Pro,,Standard,Keychron K Pro Banana,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Keychron Lemokey L3,,Standard,Gateron Jupiter Red,,true,Wireless,Black / Red
Keychron Lemokey L3,,Standard,Gateron Jupiter Brown,,true,Wireless,Gray / Teal
Keychron K3 Max,114.99,Standard,Gateron Low-Profile Red,RGB,true,"Wired, Bluetooth Wireless",Gray
Keychron K1 Pro,,Standard,Gateron Low-Profile Brown,White,true,"Wired, Bluetooth Wireless",Black / Red
Keychron K3 Pro,,Standard,Gateron Low-Profile Red (Hot-Swappable),RGB,true,"Wired, Bluetooth Wireless",White
Keychron K5 Pro,,Gaming,Gateron Low-Profile Red,White,false,"Wired, Bluetooth Wireless",White
Keychron K5 Pro,,Gaming,Gateron Low-Profile Brown,RGB,false,"Wired, Bluetooth Wireless",White
Keychron K7 Pro,,Standard,Gateron Low-Profile Red,White,true,"Wired, Bluetooth Wireless",Black / Red
Keychron K17 Pro,,Standard,Gateron Low-Profile Red (Hot-Swappable),RGB,false,"Wired, Bluetooth Wireless",Black / Red
Keychron K3 V2 Ultra-slim,,Standard,Gateron Low-Profile Blue,White,true,"Wired, Wired, Bluetooth Wireless",Black / Gray
Logitech POP Keys Daydream,,Mini,TTC Brown,,true,"Wireless, Bluetooth Wireless",White / Green
Corsair K55 CORE RGB,88.92,Gaming,,RGB,false,Wired,Black
Cooler Master CK530 V2,,Gaming,TTC Red,RGB,true,Wired,Black
Asus ROG Strix Scope,,Gaming,Cherry MX Red RGB,RGB,true,Wired,Black
Asus ROG Strix Scope,,Gaming,ROG NX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",
Adesso AKB-150SB-TAA,66.98,Ergonomic,,,false,Wired,Black
Dell C638N,71.98,Standard,,,false,Wired,Black
Kensington K755,35.19,Standard,,,true,"Wired, Wireless, Bluetooth Wireless",Black
Targus AKM619AMUS,44.99,Slim,,,false,Bluetooth Wireless,Black
SteelSeries Apex Pro Mini Wireless,,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wireless, Bluetooth Wireless",Black
SteelSeries Apex Pro Mini Wireless,,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wireless, Bluetooth Wireless",Black
SteelSeries Apex 3 (2020),,Gaming,,RGB,false,Wired,Black
SteelSeries Apex 3 (2020),,Gaming,,RGB,false,Wired,Black
SteelSeries Apex 3 (2020),,Gaming,,RGB,false,Wired,Black
Logitech MX Keys Mini for Business,109.99,Mini,,,true,"Wired, Wireless, Bluetooth Wireless",White / Silver
Logitech MK295 Silent,,Standard,,,false,"Wired, Wireless",White
Ducky PowerColor x Ducky One 2 SF RGB,,Gaming,Kailh Box Brown,RGB,true,Wired,Black
MSI Vigor GK50 Elite,,Gaming,Kailh Blue,RGB,true,Wired,Black
IQUNIX OG80 Dark Side,159.99,Gaming,IQUNIX Moonstone,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
IQUNIX ZX75 Dark Side,199.99,Gaming,TTC Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
IQUNIX F97 Hitchhiker,,Gaming,Cherry MX Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
Keychron Q3 Pro Special Edition,,Standard,Keychron K Pro Banana,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron Q3 Pro Special Edition,,Standard,Keychron K Pro Brown,RGB,true,"Wired, Bluetooth Wireless",Green / Yellow
Keychron Q3 Pro,,Standard,Keychron K Pro Red,RGB,true,"Wired, Bluetooth Wireless",Silver / Gray
Logitech PRO X 60,,Mini,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech PRO X 60,,Mini,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech PRO X 60,,Mini,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech PRO X 60,,Mini,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G915 X LIGHTSPEED,,Gaming,Logitech Low-Profile GL Clicky,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
ADATA XPG Sorcerer Mini,,Mini,XPG Red,RGB,true,Wired,Black
Corsair K70 CORE TKL,99.99,Gaming,Corsair MLX Red V2 Linear,RGB,true,Wired,Black
Corsair K70 RGB PRO,,Gaming,Corsair OPX,RGB,false,Wired,Black
Das Keyboard 5QS,119.99,Gaming,Gamma Zulu Tactile,RGB,false,Wired,Black
Cherry G80-1800 Keyboard,,Standard,Cherry MX Black,,false,Wired,Gray
Logitech G715,,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
AZIO IZO,89.99,Standard,Gateron Red,,true,"Wired, Bluetooth Wireless",Blue / White
IOGEAR IKON II,35.95,Gaming,,RGB,false,Wired,Black
Targus AKB869US,26.05,Slim,,,false,Bluetooth Wireless,Black
Logitech G915 LIGHTSPEED TKL,,Gaming,Logitech Low-Profile GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Cherry G86-61410EUADAA,120.55,Standard,,,false,Wired,Black
Syba CL-KBD23025,,Mini,,,true,Bluetooth Wireless,Silver / Black
Ducky One 2 RGB,,Standard,Cherry MX Blue,RGB,false,Wired,Black
iKBC CD87 V2,79.98,Standard,Cherry MX Clear,,true,Wired,Black
Corsair K70 CORE w/Palmrest,,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
Topre Realforce R3HD11,242,Standard,Topre 30g,,true,"Wired, Bluetooth Wireless",Black
KeyTronic KT800P2M,49.99,Standard,,,false,Wired,Black
Logitech K310,166.59,Standard,,,false,Wired,Black
Perixx PERIBOARD-505H PLUS,39.99,Mini,,,false,Wired,Black
Thermaltake Poseidon Z Forged,119.98,Gaming,Kailh Blue,Blue,false,Wired,Black
IOGEAR Kaliber Gaming,44.1,Standard,,,false,Wireless,Black
