name,price,type,frequency_response,microphone,wireless,enclosure_type,color
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",299.99,Circumaural,"10,40",true,true,Closed,Black
HP HyperX Cloud Alpha S,180,Circumaural,"13,27",true,false,Closed,Black
Audio-Technica ATH-M50xSTS StreamSet USB,229,Circumaural,"15,28",true,false,Closed,Black / Silver
Asus ROG Delta,139.99,Circumaural,"20,40",true,false,Closed,Black / Silver
Turtle Beach Stealth 700 Gen 2 MAX,179.99,Circumaural,"20,22",true,true,Closed,Black / Silver
Corsair HS80 MAX WIRELESS,139.99,Circumaural,"20,40",true,true,Closed,Gray / Black
Sennheiser HD 599,149.94,Circumaural,"12,38.5",false,false,Open,White / Brown
JBL Quantum 100,34.95,Circumaural,"20,20",true,false,Closed,Black
Sennheiser HD 660S2,489.4,Circumaural,"8,41.5",false,false,Open,Black
Creative Labs Zen Hybrid,37.99,Circumaural,"20,20",true,true,Closed,White
Corsair Virtuoso RGB,129.99,Circumaural,"20,40",true,true,Closed,Black
Sennheiser HD600,321,Circumaural,"12,39",false,false,Open,Black
HP HyperX Cloud Core,,Circumaural,"10,21",true,true,Closed,Black / Red
Logitech ASTRO A10,64.98,Circumaural,"20,20",true,false,Closed,Black
Asus ROG Delta White Edition,149.99,Circumaural,"20,40",true,false,Closed,White
Logitech G335,49.99,Circumaural,"20,20",true,false,Closed,Black / Blue
Apple MD827LL/A,25.48,Earbud,,true,false,Closed,White
Razer Kraken BT - Hello Kitty and Friends Edition,119.99,Circumaural,"20,20",true,true,Closed,Pink / White
Audio-Technica ATH-M40x,99,Circumaural,"15,24",false,false,Closed,Black / Silver
Razer Kraken X,86.95,Circumaural,"12,28",true,false,Closed,Black
Logitech G935,129,Circumaural,"20,20",true,true,Closed,Black / Blue
SteelSeries ARCTIS 7 2019 Edition,214.99,Circumaural,"20,20",true,true,Closed,Black
Corsair HS55,99.99,Circumaural,"20,20",true,true,Closed,White
Logitech G PRO,,Circumaural,"20,20",true,false,Closed,Black
Sony MDR-ZX100/WHT,15.98,Supra-aural,"12,22",false,false,Closed,White
Sony XM5,398,Circumaural,"4,40",true,true,Closed,Silver
SteelSeries Arctis Nova Pro,214.37,Circumaural,"10,40",true,false,Closed,Black
SteelSeries Arctis Nova 3,89.38,Circumaural,"20,22",true,false,Closed,Black
HP HyperX Cloud Stinger,,Circumaural,"18,23",true,false,Closed,Black / Red
Corsair HS55 WIRELESS CORE,54.99,Circumaural,"20,20",true,true,Closed,Black
Logitech G435,68.14,Circumaural,"20,20",true,true,Closed,White / Blue
JBL Quantum 910,196.95,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis 7,,Circumaural,"20,20",true,true,Closed,Black
HiFiMAN SUNDARA,279,Circumaural,"6,75",false,false,Open,Black
HP HyperX Cloud II,99.9,Circumaural,"15,25",true,false,Closed,Gunmetal
Beyerdynamic MMX 300 (2nd Generation),219,Circumaural,"5,35",true,false,Closed,Black
HP HyperX Cloud III,69.95,Circumaural,"10,21",true,false,Closed,Black / Red
Corsair HS70 PRO,109.99,Circumaural,"20,20",true,true,Closed,Black
Asus TUF Gaming H1,34.99,Circumaural,"20,20",true,false,Closed,Black
JBL Quantum One,189.95,Circumaural,"20,20",true,false,Closed,Black
Logitech G35,398.98,Circumaural,"20,20",true,false,Closed,Black
SteelSeries Arctis Pro + GameDAC,159.94,Circumaural,"10,40",true,false,Closed,Black
Audio-Technica ATH-M20X,49,Circumaural,"15,20",false,false,Closed,Black / Silver
Sony INZONE H9,298,Circumaural,"5,20",true,true,Closed,
Razer Kraken BT - Kitty Edition,99.99,Circumaural,"20,20",true,true,Closed,Pink / White
Sennheiser HD6XX,283.01,Circumaural,"10,41",false,false,Open,Black
Beyerdynamic DT 990,169.99,Circumaural,"5,35",false,false,Semi-open,Black / Silver
Astro Gaming A10,39.95,Circumaural,"20,20",true,false,Closed,Black / Red
Turtle Beach Recon 50P,28.98,Circumaural,"20,20",true,false,Closed,Black / Blue
Sony MDR-7506,98,Circumaural,"10,20",false,false,Closed,Black
Corsair HS35 v2,49.99,Circumaural,,true,false,Closed,Black
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",292.14,Circumaural,"10,40",true,true,Closed,White / Silver
SteelSeries Arctis Nova 5,109.99,Circumaural,"20,22",true,true,Closed,Black
JBL Quantum 100,34.95,Circumaural,"20,20",true,false,Closed,White
Beyerdynamic DT 700 PRO X,269.49,Circumaural,"5,40",false,false,Closed,Black
Sennheiser MOMENTUM 4,249.95,Circumaural,"6,22",true,true,Closed,Black
Beyerdynamic DT 1770 PRO,399,Circumaural,"5,40",false,false,Closed,Black
Audeze LCD-GX,899,Circumaural,"10,50",true,false,Open,Black / Red
Asus TUF Gaming H1 Wireless,89.99,Circumaural,"20,20",true,true,Closed,
HiFiMAN RE2000 24k Gold Edition,2000,In Ear,"5,20",false,false,Closed,Black / Gold
Logitech G233 PRODIGY,34.99,Circumaural,"20,20",true,false,Closed,Black / Blue
Skullcandy Crusher,,Circumaural,"20,20",false,true,Closed,Black
Razer Barracuda X (2021),89.8,Circumaural,"20,20",true,true,Closed,Black
Creative Labs Zen Hybrid,39.99,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis Nova 7,179.99,Circumaural,"20,22",true,true,Closed,White / Black
Bose QuietComfort 35 Series II,331.17,Circumaural,,true,true,Closed,Black
SteelSeries Arctis Prime,42.23,Circumaural,"10,40",true,false,Closed,Black
Koss KSC75,19.98,Supra-aural,,false,false,Closed,Black / Silver
Razer Kraken V4,179.99,Circumaural,"20,28",true,true,Open,Black
Asus ROG CETRA II,99.99,In Ear,"20,40",true,false,Closed,Black
Razer Kraken V3 HyperSense,99.99,Circumaural,"20,20",true,false,Closed,Black
Cyber Acoustics ACM-70B,,Supra-aural,"20,20",false,false,Closed,Black
Logitech H390,19.99,Supra-aural,"20,20",true,false,Closed,Black / Silver
Corsair Virtuoso Pro,199.99,Circumaural,"20,40",true,false,Open,Black
Apple AirPods Max,449,Circumaural,,true,true,Closed,Black
Razer BlackShark V2 HyperSpeed,120.3,Circumaural,"12,28",true,false,Closed,Black
HiFiMAN HE1000 Stealth,1399,Circumaural,"8,65",false,false,Open,Silver / Brown
Panasonic RP-HJE125-A,9.49,Earbud,,false,false,Closed,Blue
Logitech H110,,Supra-aural,"20,20",true,false,Closed,Black / Silver
SteelSeries Arctis Nova 1P,54.81,Circumaural,"20,22",true,false,Closed,White
Sennheiser GAME ONE,162.49,Circumaural,"15,28",true,false,Open,Black / White
Asus TUF Gaming H3,39.99,Circumaural,"20,20",true,false,Closed,Black / Gray
Sony ZX110 (Black),19.98,Supra-aural,"12,22",true,false,Closed,Black
Sony WH-1000XM3,356.48,Circumaural,"4,40",true,true,Closed,Black
Sennheiser ‎‎‎HD 450BT Black,99.99,Circumaural,"18,22",true,true,Closed,Black / Gray
Sennheiser MOMENTUM 4,249.95,Circumaural,"6,22",true,true,Closed,White
Audio-Technica ATH-AD2000X,491.28,Circumaural,"5,45",false,false,Open,Black
SteelSeries Arctis Nova 7X,179.99,Circumaural,"20,22",true,true,Closed,Black / Green
Corsair Virtuoso RGB SE,249.99,Circumaural,"20,40",true,true,Closed,White
Razer NARI ULTIMATE,188.7,Circumaural,"20,20",true,true,Closed,Black / Green
Anker Soundcore Life Q20,54.99,Circumaural,"16,40",true,true,Closed,Silver
Astro A50 + Base Station,193.99,Circumaural,"20,20",true,true,Closed,Black / Gray
Astro A40 + MIXAMP Pro,392.94,Circumaural,"20,20",true,false,Closed,Black
Apple AirPods Max,469,Circumaural,,true,true,Closed,Silver
HP HyperX Cloud Orbit S,253.17,Circumaural,"10,50",true,false,Closed,Black / Gray
Sennheiser GAME ZERO,105,Circumaural,"10,26",true,false,Closed,Black / Red
Razer Kraken Kitty,,Circumaural,"20,20",true,false,Closed,Black / Green
Razer Kraken Kitty V2 Pro,159.99,Circumaural,"20,20",true,false,Closed,Pink / Gray
Philips SHP9600MB/00,74.98,Supra-aural,"12,35",true,false,Open,Black
Sony WH-1000XM3,349.99,Circumaural,"4,40",true,true,Closed,Silver
Logitech ASTRO A50 (GEN 5),299.99,Circumaural,"20,20",true,true,Closed,Black / Red
Gear Head AU1200M,10,Supra-aural,,true,false,Closed,Black
Apple AirPods Pro 2nd Gen MagSafe USB-C,239,In Ear,,true,true,Closed,White
NZXT Relay,69.98,Circumaural,"20,40",true,false,Closed,Black / Purple
Rosewill SAROS C740S,34.99,Circumaural,"20,20",true,true,Closed,Black / Silver
HP HyperX Cloud Flight,124.99,Circumaural,"15,23",true,true,Closed,Black / Red
HP HyperX Cloud Alpha S,,Circumaural,"13,27",true,false,Closed,Blue / Black
Razer Kraken 7.1 V2,299,Circumaural,"12,28",true,false,Closed,Black / Green
HP HyperX CloudX Stinger Core - Xbox,32.95,Circumaural,"20,20",true,false,Closed,Black / Green
Philips Fidelio X2HR/00,140,Circumaural,"5,40",false,false,Open,Black
Koss KPH7W,10.98,Supra-aural,,false,false,Closed,Black
Moondrop ARIA,,In Ear,"5,36",false,false,Closed,Black
HP HyperX Cloud Stinger Core - PS5/PS4,29.99,Circumaural,"20,20",true,false,Closed,Black / Blue
MSI Immerse GH30 V2,26.14,Circumaural,"29,20",true,false,Closed,Black
Beyerdynamic T 5 p,977.3,Circumaural,"5,50",false,false,Closed,Black / Silver
Audio-Technica ATH-G1WL,219.99,Circumaural,"5,40",true,true,Closed,Black
Anker Soundcore Life Q30,79.98,Circumaural,"16,40",true,true,Closed,Black
Razer Kraken V4 X,79.98,Circumaural,"20,20",true,false,Open,Black
Philips SHP9600/00,69.98,Circumaural,"12,35",false,false,Open,Black / Copper
Sennheiser HD 280 PRO,94,Circumaural,"8,25",false,false,Closed,Black
Sennheiser GSP 500,,Circumaural,"10,30",true,false,Semi-open,Black / Red
EPOS H6PRO,94.9,Circumaural,"20,20",true,false,Closed,Black / Blue
Sennheiser HD 599 SE,,Circumaural,"12,38.5",false,false,Open,Black / Silver
HiFiMAN Arya,649,Circumaural,"8,65",false,false,Open,Black
Gigabyte Aorus H1,,Circumaural,"20,20",true,false,Closed,Black / White
Razer Kraken Tournament Edition,111.94,Circumaural,"12,28",true,false,Closed,Black
SteelSeries Arctis 9,190.3,Circumaural,"20,20",true,true,Closed,Black
Razer Barracuda X,69,Circumaural,"20,20",true,true,Closed,Pink / Gray
SteelSeries ARCTIS 5 (2019),189.99,Circumaural,"20,22",true,false,Closed,Black
SteelSeries Arctis 7P,,Circumaural,"20,20",true,true,Closed,White / Blue
Sennheiser HD 490 PRO,329.56,Circumaural,,false,false,Open,Black
Sennheiser HD 598,,Circumaural,"12,38.5",false,false,Open,Brown
SteelSeries Arctis 5,,Circumaural,"20,22",true,false,Closed,Black
Beyerdynamic DT 990,179,Circumaural,"5,35",false,false,Open,Black / Silver
Astro Gaming A10,38.99,Circumaural,"20,20",true,false,Closed,Black / Blue
Logitech G335,37.99,Circumaural,"20,20",true,false,Closed,White / Blue
SteelSeries Arctis 3 (2019),,Circumaural,"20,22",true,false,Closed,Black
Razer Kraken Kitty V2 Pro,198.3,Circumaural,"20,20",true,false,Closed,Black
Razer NARI,222.99,Circumaural,"20,20",true,true,Closed,Black / Green
HP HyperX Cloud Stinger - Xbox,39.99,Circumaural,"18,23",true,false,Closed,Black / Green
Razer NARI ESSENTIAL,189.49,Circumaural,"20,20",true,true,Closed,Black
Astro A50 Xbox 4th Gen + Base Station,,Circumaural,"20,20",true,true,Closed,Black
Razer Kraken Ultimate,199.99,Circumaural,"20,20",true,false,Closed,Black
Sennheiser GSP 600,104,Circumaural,"10,30",true,false,Closed,Black / Red
Corsair HS55,79.98,Circumaural,"20,20",true,true,Closed,Black
Asus ROG Strix Go,199.99,Circumaural,"20,40",true,true,Closed,Black
Sennheiser RS 175,229.99,Circumaural,"17,22",false,true,Closed,Black / Silver
NZXT Relay,66.98,Circumaural,"20,40",true,false,Closed,White / Black
Adesso Xtream G1,28.96,Circumaural,"20,20",true,false,Closed,Black / Blue
Sony INZONE H7,228,Circumaural,"5,20",true,true,Open,
Sennheiser GSP 300,66.83,Circumaural,"15,26",true,false,Closed,Black / Blue
Turtle Beach Recon 50,41.3,Circumaural,,true,false,Closed,Black / Red
Astro A10,29.99,Circumaural,"20,20",true,false,Closed,White / Blue
Creative Labs Sound Blaster Blaze V2,24.99,Circumaural,"20,20",true,false,Closed,Black
Cyber Acoustics AC-104,11.99,Supra-aural,,true,false,Closed,Black
Syba CM-502,7.99,Circumaural,"20,20",true,false,Closed,Black / Silver
Rosewill E-210-VL,6.99,Earbud,"10,22",true,false,Closed,Silver
Sennheiser HD 660 S,,Circumaural,"10,41",false,false,Open,Black
SteelSeries Arctis Nova 7P,144.99,Circumaural,"20,22",true,true,Closed,White / Blue
MSI Immerse GH50,,Circumaural,"20,20",true,false,Closed,Black
Bose QuietComfort 35 Series II,499.99,Circumaural,,true,true,Closed,Pink / White
Razer Barracuda,159.99,Circumaural,"20,20",true,true,Closed,Black
Logitech PRO X 2 LIGHTSPEED,249.99,Circumaural,"20,20",true,true,Closed,Pink
Microsoft Xbox WH,,Circumaural,"20,20",true,true,Closed,Black / Green
Sennheiser GSP 670,93.9,Circumaural,"10,23",true,true,Closed,Black
Sennheiser HD 569,142.44,Circumaural,"10,28",true,false,Closed,Black
Logitech G935,129,Circumaural,"20,20",true,true,Closed,Black
Audio-Technica ATH-R70X,347,Circumaural,"5,40",false,false,Open,Black
Logitech G930,329,Circumaural,"20,20",true,true,Closed,Black / Red
Audio-Technica ATH-M50xBT,,Circumaural,"15,28",true,true,Closed,Black / Silver
Corsair Virtuoso Pro,199.99,Circumaural,"20,40",true,false,Open,White
Logitech G533,,Circumaural,,true,true,Closed,Black
Plantronics Rig 800HD,,Circumaural,"20,20",true,true,Open,Black / Gold
Skullcandy Hesh 2 Unleashed,,Circumaural,,true,true,Closed,Black / Silver
Razer Kraken V3,99.99,Circumaural,"20,20",true,false,Closed,Black
Audio-Technica ATH-AD500X,89.99,Circumaural,"5,25",false,false,Open,Black
Logitech ASTRO A30 LIGHTSPEED (Playstation/PC),151.59,Circumaural,"20,20",true,true,Closed,White
Audio-Technica ATH-M50xWH,169,Circumaural,"15,28",false,false,Closed,White
Corsair VOID ELITE SURROUND,79.99,Circumaural,"20,30",true,false,Closed,Black
Razer Kraken V3 X,73.25,Circumaural,"12,28",true,false,Closed,Black
Apple AirPods Pro 2nd Gen MagSafe,245.99,In Ear,,true,true,Closed,White
Beyerdynamic DT 880 Pro,209.99,Circumaural,"5,35",false,false,Semi-open,Gray
Asus ROG CENTURION,,Circumaural,,true,false,Closed,Black
Apple AirPods Max,459,Circumaural,,true,true,Closed,Blue
GALAX HOF Maestro Matte,44.99,Circumaural,"20,20",true,false,Closed,White
Corsair HS35,,Circumaural,"20,20",true,false,Closed,Black
ADATA XPG Precog,88.99,Supra-aural,"5,50",true,false,Closed,Black / Red
Cooler Master MH670,113.74,Circumaural,"15,25",true,true,Closed,Black
Logitech G635,149,Circumaural,"20,20",true,false,Closed,Black / Blue
HP HyperX Cloud Stinger Core,39.99,Circumaural,"20,20",true,false,Closed,Black
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",289,Circumaural,"10,40",true,true,Closed,White / Silver
Philips SHE7000WT/28,5.99,In Ear,"8,23.5",false,false,Closed,Pink / White
Logitech G733,138.99,Circumaural,"20,20",true,true,Closed,Purple
Asus ROG Strix Go Core,79.98,Circumaural,"20,40",true,false,Closed,White
Asus ROG Strix Go Core,77,Circumaural,"20,40",true,false,Closed,Black
Cyber Acoustics ACM-500RB,27.99,Circumaural,,false,false,Closed,Black
Asus ROG Delta S EVA Edition,239.99,Circumaural,"20,40",true,false,Closed,Purple / Green
Panasonic RP-HJE125-W,9.99,Earbud,"10,24",false,false,Closed,
Corsair VOID PRO RGB (Black),,Circumaural,"20,20",true,true,Closed,Black
Logitech G332,49.99,Circumaural,"20,20",true,false,Closed,Black / Red
Astro A20 Gen 2,99.99,Circumaural,"20,20",true,true,Closed,Black / Blue
Superlux HD668B,49,Circumaural,"10,30",false,false,Semi-open,Black
Sennheiser MOMENTUM 4,299.95,Circumaural,"6,22",true,true,Closed,Copper / Black
MSI Immerse GH50,69.98,Circumaural,"100,10",true,true,Closed,Black
Logitech FITS,145,In Ear,"20,20",true,true,Closed,White
Razer Hammerhead Pro v2,117.04,In Ear,"50,10",true,false,Closed,Black / Green
Audio-Technica ATH-M30x,69,Circumaural,"15,22",false,false,Closed,Black / Silver
Koss KPH7W,10.98,Supra-aural,,false,false,Closed,Black
Gigabyte Aorus H5,103.9,Circumaural,"20,20",true,false,Closed,Black / Orange
SteelSeries Arctis Nova 1X,59,Circumaural,"20,22",true,false,Closed,Black
HP HyperX Cloud Stinger Core - Wireless PS5/PS4,69.89,Circumaural,"10,21",true,true,Closed,White / Blue
SteelSeries Arctis 3 (2019),139.99,Circumaural,"20,22",true,false,Closed,White
Sennheiser MOMENTUM 4,399.99,Circumaural,"6,22",true,true,Closed,Blue / Black
HP HyperX Cloud Revolver S,,Circumaural,"12,28",true,false,Closed,Silver
Logitech G433 (Black),,Circumaural,"20,20",true,false,Open,Black
Logitech G430,148.99,Circumaural,"20,20",true,false,Closed,Black / Blue
AKG K240 MKII,93.98,Circumaural,"15,25",false,false,Semi-open,Black
Adesso Xtream H4,14.39,Supra-aural,"20,20",true,false,Closed,Black
Razer BlackShark V2 HyperSpeed,129.99,Circumaural,"12,28",true,false,Closed,White / Black
Razer Opus,124.99,Circumaural,"20,20",true,true,Closed,Black
HiFiMAN HE1000se,1699,Circumaural,"8,65",false,false,Open,Silver / Brown
Sony MDRDS6500,473.1,Circumaural,"12,22",false,true,Closed,Black / Silver
ROCCAT Elo Air,109.95,Circumaural,"20,20",true,true,Closed,Black
Logitech ASTRO A10,,Circumaural,"20,20",true,false,Closed,Gray
Astro A40 TR,,Circumaural,"20,24",true,false,Open,Black
SteelSeries Arctis 7,,Circumaural,"20,20",true,true,Closed,White / Black
DROP Drop + Sennheiser PC38X,,Circumaural,"10,30",true,false,Open,Black / Yellow
MSI MAESTRO 300,49.99,Circumaural,"50,15",true,false,Closed,Black
HiFiMAN HE400SE,109,Circumaural,"20,20",false,false,Open,Black / Silver
Logitech G933 Artemis Spectrum,,Circumaural,"20,20",true,true,Closed,Black / Blue
JBL Quantum 400,59.95,Circumaural,"20,20",true,false,Closed,Black
SteelSeries Siberia v2,337.88,Circumaural,"18,28",true,false,Closed,White
Syba CL-AUD63035,13.99,Circumaural,"20,20",true,false,Closed,Blue / White
Beyerdynamic DT990 Premium 32,169,Circumaural,"5,35",false,false,Open,Black / Silver
HP HyperX Cloud Stinger,,Circumaural,"20,20",true,true,Closed,Black
Sennheiser GSP 302,,Circumaural,"15,26",true,false,Closed,Black
Corsair HS80 RGB Pink Elixir,,Circumaural,"20,40",true,true,Closed,White / Pink
Creative Labs Aurvana Live! SE,46.99,Circumaural,"10,30",false,false,Closed,Black
Logitech ASTRO A50 (GEN 5),299.99,Circumaural,"20,20",true,true,Closed,White / Red
Acer Predator Galea 500,199,Circumaural,"20,20",true,false,Closed,Black
Audio-Technica SonicFuel CLR100iS,14.99,In Ear,"20,25",true,false,Closed,Black
Logitech ASTRO A10,59,Circumaural,"20,20",true,false,Closed,White / Red
Razer Kraken (2019),129,Circumaural,"12,28",true,false,Closed,Black
Apple AirPods Max (2024),542,Circumaural,,true,true,Closed,Black
Logitech G PRO,,Circumaural,"20,20",true,false,Closed,Black
Corsair HS65 SURROUND,49.99,Circumaural,"20,20",true,false,Closed,White / Gray
Samsung Buds2 Pro,149.49,In Ear,,true,true,Closed,Black
Razer Kraken 7.1 V2 Mercury Edition,,Circumaural,"12,28",true,false,Closed,White
JBL Quantum 600,,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis Nova 7P,161.72,Circumaural,"20,22",true,true,Closed,Black / Blue
Audio-Technica ATH-AD700X,119.95,Circumaural,"5,30",false,false,Open,Black
Anker Soundcore Life Q20,,Circumaural,"16,40",true,true,Closed,Black
Sennheiser HD 490 PRO Plus,479,Circumaural,,false,false,Open,Black
Anker Soundcore Life Q20,54.99,Circumaural,"16,40",true,true,Closed,Blue
EPOS H6PRO,233.71,Circumaural,"20,20",true,false,Closed,Green / Gold
YEYIAN Wicked 3000,24.99,Circumaural,"20,20",true,false,Closed,Black / Red
Anker Soundcore Life Q30,85.99,Circumaural,"16,40",true,true,Closed,Pink
AKG K361,118,Circumaural,"15,28",false,false,Closed,Black
Audio-Technica ATH-E40,99,In Ear,"20,20",false,false,Closed,Black
Apple AirPods Pro,259.95,Earbud,,true,true,Closed,White
Shure SE535CLEAR,449,In Ear,"18,19",false,false,Closed,Brown / Black
iDeaUSA S409,,Circumaural,"20,20",true,false,Closed,Black / Blue
Panasonic RP-HJE125-K,14.99,Earbud,,false,false,Closed,Black
Corsair HS55 STEREO,44,Circumaural,"20,20",true,false,Closed,Black
AKG K92,75,Circumaural,"16,22",false,false,Closed,Black / Gold
SteelSeries Arctis Nova Pro X,218.31,Circumaural,"10,40",true,false,Closed,Black
Beyerdynamic TYGR 300 R,169.99,Circumaural,"5,35",false,false,Open,Black
Sennheiser M3AEBTXL,349.99,Circumaural,"6,22",false,true,Closed,Black / Silver
Apple Airpods 2nd Gen,89,In Ear,,true,true,Closed,White
Logitech H540,33.03,Supra-aural,,true,false,Closed,Black / Blue
