name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer Diamondback,69.98,Laser,Wired,16000,Both,Black
Corsair GLAIVE RGB PRO,,Optical,Wired,18000,Right,Black
Endgame Gear XM1r,59.99,Optical,Wired,19000,Right,Black / Gold
ROCCAT KONE Pro Air,69.98,Optical,Wireless,19000,Right,White
Logitech M500S,29.99,Optical,Wired,4000,Right,Black / Silver
ninjutso Katana Superlight,,Optical,"Wired, Wireless",19000,Right,White / Black
Perixx PERIMICE-517,41.15,Trackball,Wired,1000,Left,Black
KLIM Aim,18.97,Optical,Wired,7000,Right,Silver
Logitech 910-000806,187.99,Trackball,Wired,,Both,Gray
Logitech G PRO Hero,,Optical,Wired,25600,Right,Black
Pulsar X2V2,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Logitech MX518,,Optical,Wired,1800,Right,Black / Silver
Redragon M990,,Laser,Wired,24000,Right,Black
Pulsar X2H,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Asus TUF GAMING M5,,Optical,Wired,6200,Right,Black
Logitech MX Anywhere 3S,69.98,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,Pink
Swiftpoint Z2,,Optical,Wired,26000,Right,Black
Logitech ERGO M575,39.99,Optical,"Wired, Wireless, Bluetooth Wireless",2000,Right,Gray / Blue
Glorious Model O 2,49.99,Optical,Wired,26000,Right,Black
MSI CLUTCH,69.98,Optical,Wireless,6400,Right,Black
Cooler Master MM731,57.85,Optical,Wireless,19000,Right,Black
Gigabyte AORUS M4,19.98,Optical,Wired,6400,Both,Black
Anker AK-98ANWVM-UBA,25.99,Optical,Wireless,1600,Right,Black
Xtrfy M4 RGB,69.98,Optical,"Wired, Wireless",16000,Right,White
Asus ROG Keris,39.99,Optical,Wired,16000,Right,Black
Microsoft SideWinder X5,257.31,Laser,Wired,2000,Right,Black
Logitech PRO 2 LIGHTSPEED,129.99,Optical,"Wired, Wireless",32000,Both,White
A4Tech D-120,7.99,Optical,Wired,1000,Both,Black / Silver
Logitech MX Ergo,78.75,Optical,Wireless,440,Right,Black
Zowie EC2-A,,Optical,Wired,3200,Right,Black
Alienware AW558,,Optical,Wired,5000,Right,Black / Silver
Razer Deathadder Elite Overwatch Edition,,Optical,Wired,16000,Right,Black / Orange
ROCCAT Kone XP Air,,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,White
Endgame Gear OP1we,99.99,Optical,"Wired, Wireless",19000,Right,White
Corsair M75 AIR,64.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Gray
Logitech Signature M650 L,34.29,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Left,Black
Dell MS3220,24.99,Laser,Wired,3200,Right,Black
Razer Pro Click,110.63,Optical,Wireless,16000,Right,White
Redragon ‎M711-FPS COBRA RGB,,Optical,Wired,24000,Right,Black
Logitech M240 Silent,19.98,Optical,Bluetooth Wireless,4000,Both,Pink
SteelSeries Rival 310,,Optical,Wired,12000,Right,Black
Trust GXT 117 Strike,,Optical,Wireless,1400,Both,Black
Kensington Orbit,38.76,Trackball,Wired,,Both,Black
Logitech G403 Prodigy,155.16,Optical,Wireless,12000,Right,Black
Patriot Viper 551,39.99,Optical,Wired,10000,Both,Black
Logitech G600 MMO Gaming Mouse,,Laser,Wired,8200,Right,White / Black
A4Tech D-312,12.99,Optical,Wired,1000,Both,Black
Verbatim 99768 Commuter,14.08,Optical,Wireless,,Both,White
Pulsar X2H Mini,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech PEBBLE 2 M350S,24.99,Optical,"Wired, Wireless",1000,Both,White
Logitech G703 (Black),67.48,Optical,Wireless,12000,Right,Black
Corsair M55,49.99,Optical,"Wireless, Bluetooth Wireless",24000,Right,Black
HP HyperX Pulsefire Haste 2 Mini,59.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer Basilisk Essential,42.5,Optical,Wired,6400,Right,Black
Keychron M7,54.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Xtrfy M4 RGB,86.3,Optical,Wired,16000,Right,Pink
Logitech Signature M650,34.97,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,White
MSI Clutch GM31 Lightweight,59.99,Optical,Wired,12000,Right,Black
Logitech M325,19.16,Optical,Wireless,,Both,Blue
Microsoft Pro Intellimouse,69.98,Optical,Wired,16000,Right,Black / Gray
3Dconnexion CadMouse Pro,,Optical,Wireless,7200,Left,Black
Logitech M240 Silent,19.5,Optical,Bluetooth Wireless,4000,Both,White
Logitech G Pro,99,Optical,Wired,12000,Right,Black
Fellowes Penguin Medium,75,Laser,Wired,1200,Both,Black / Silver
Verbatim 99767 Commuter,9.99,Optical,Wireless,,Both,Red / Black
Acer Predator Cestus 330,53.29,Optical,Wired,16000,Right,Black
SteelSeries Rival 5 Destiny Edition,89.89,Optical,Wired,18000,Right,White / Silver
Logitech M310,14.99,Laser,Wireless,,Both,Silver
Microsoft PL2 ARC Touch Mouse,164.99,Optical,Wireless,,Both,Black
Asus ROG Spatha,,Laser,Wireless,8200,Right,Black
Asus ROG Gladius II Origin,,Optical,Wired,12000,Right,Black
Razer Basilisk,,Optical,Wired,16000,Right,Pink
Cooler Master MM711 Matte White,39.99,Optical,Wired,16000,Right,White
Asus ROG GLADIUS II ORIGIN PNK LTD,,Optical,Wired,12000,Right,Pink / White
Redragon M801P Sniper Pro,,Optical,Wired,16000,Right,Black
Asus ROG Chakram Core,,Optical,Wired,16000,Right,Black
Gigabyte AORUS M6,,Optical,"Wired, Wireless",26000,Both,Black
Asus ROG Keris,,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Black
Corsair SCIMITAR PRO RGB,59.99,Optical,Wired,16000,Right,Black / Gray
Razer Atheris,,Optical,Wireless,7200,Right,Black
Cooler Master MM712,39.99,Optical,Wired,19000,Right,White
Logitech G Pro Shroud,129.99,Optical,"Wired, Wireless",25600,Both,Black / Blue
YEYIAN Links 3000,22.99,Optical,Wired,7200,Right,White
Cobra cobra II,,Optical,Wired,1600,Right,Multicolor
Dell WM126,14.99,Optical,Wireless,1000,Both,Black
Kensington SureTrack,21.86,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Both,Blue
Cobra Mazer Type-L,,Optical,Wired,3500,Right,Black
Logitech M185,13.9,Optical,Wireless,,Both,Gray
Cooler Master MM711 Wilderness Limited Edition,28.95,Optical,Wired,16000,Right,Green
Asus ROG Keris Wireless EVA Edition,,Optical,Wired,,Both,Black / Purple
Glorious Model I,,Optical,Wired,19000,Right,White / Red
Logitech M190,,Optical,"Wired, Wireless",1000,Both,Black / Gray
Logitech T630,,Touchpad,Wireless,,Both,Black / Silver
Microsoft U7Z-00031,11.9,Optical,Wireless,,Both,Red
Redragon Perdition,,Laser,Wired,16400,Right,Black / Red
Corsair M65 RGB,,Laser,Wired,8200,Right,Black
Redragon Centrophorus M601,,Optical,Wired,2000,Right,Black / Red
Corsair Sabre RGB,,Optical,Wired,10000,Right,Black
Verbatim 99769 Silent Wireless Blue Led,11.99,Optical,Wireless,,Both,Black
Logitech G Pro X Superlight,,Optical,"Wired, Wireless",25600,Right,Yellow / Black
Mad Catz The Authentic R.A.T 8+,99.99,Optical,Wired,16000,Right,Black
Logitech M705,56.31,Laser,Wireless,1000,Right,Black
Mad Catz R.A.T. Air,202.85,Optical,"Wired, Wireless",12000,Right,Black
Xtrfy M42 RGB,69.98,Optical,"Wired, Wireless",16000,Right,Black
Razer Basilisk V3 Pro 35K,159.99,Optical,"Wired, Wireless, Bluetooth Wireless",35000,Right,Black
Glorious MODEL D GLOSSY,37.86,Optical,Wired,12000,Right,Black
EVGA X12,,Optical,Wired,16000,Both,Black
Logitech MX Anywhere 3S,79.98,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,Gray
Asus ROG GLADIUS II CORE,55.98,Optical,Wired,6200,Right,Black
Razer Taipan,79.98,Laser,Wired,8200,Both,Black
ROCCAT Kain 120 Aimo RGB,137.94,Optical,Wired,16000,Right,Black
SteelSeries Rival 710,92.89,Optical,Wired,16000,Right,Black
Cooler Master MM720 Matte,42.41,Optical,Wired,16000,Right,Black
HP HyperX Pulsefire Haste,,Optical,Wired,16000,,Black / Red
Logitech M187,12.48,Optical,"Wired, Wireless",1000,Both,Teal / Blue
Zalman ZM-M300,12.86,Optical,Wired,2500,Both,Black
Ergoguys Comfi Ergonomic Mouse,,Optical,Wired,1000,Right,Black
Razer Naga 2014,,Laser,Wired,8200,Right,Black / Green
Razer Mamba,,Laser,Wireless,16000,Right,Black
Cobra Mazer,,Optical,Wired,2500,Right,Black
ROCCAT Kone AIMO,,Optical,Wired,12000,Right,Black
Zowie S2,,Optical,Wired,3200,Right,Black
MSI CLUTCH GM30,,Optical,Wired,6200,Right,Black
Glorious Model O 2,64.98,Optical,Wired,26000,Right,White
Redragon GAINER M610,,Optical,Wired,3200,Right,Black / Red
ADATA XPG SLINGSHOT,28.29,Optical,Wired,12000,Right,Black
Razer Pro Click Mini,57.49,Optical,"Wireless, Bluetooth Wireless",12000,Right,White / Gray
HP HyperX Pulsefire Haste 2 Mini,59.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
EVGA X15 MMO Gaming,59.99,Optical,Wired,16000,Right,Black
Asus ROG Strix Carry,81.47,Optical,"Wired, Wireless, Bluetooth Wireless",7200,Right,Black
HP HyperX Pulsefire Raid,64,Optical,Wired,16000,Right,Black
Verbatim 99790,8.99,Optical,Wired,,Both,Black
Endgame Gear XM1r,39.99,Optical,Wired,19000,Right,Translucent Black / Black
Microsoft L2 Wireless Mouse 5000,139.99,Optical,Wireless,,Both,Black
ninjutso Origin One X,,Optical,"Wired, Wireless",3200,Right,Black / White
Targus AMB581GL,22.98,Optical,Bluetooth Wireless,,Both,Black
Logitech M310,17.49,Laser,Wireless,,Both,Black / Blue
Razer Mamba Hyperflux & Firefly Hyperflux Bundle,,Optical,Wireless,16000,Right,Black
Xtrfy M42 RGB,89.99,Optical,"Wired, Wireless",16000,Right,White
Logitech Rechargeable Trackpad for Mac,104.89,Touchpad,Bluetooth Wireless,,Both,Silver
HP X500,,Optical,Wired,,Both,Black
Razer Taipan,139.99,Laser,Wired,8200,Both,Black / White
DLAND Zelotes T90,,Optical,Wired,9200,Right,Black
Razer DeathAdder V2 - Halo Infinite,79.95,Optical,Wired,20000,Right,Green / Black
Logitech LIFT,69.98,Optical,"Wireless, Bluetooth Wireless",4000,Right,Pink
Logitech POP Cosmos,28.89,Optical,"Wireless, Bluetooth Wireless",4000,Both,Purple
Microsoft 8KX-00003,15.95,Optical,"Wired, Wireless, Bluetooth Wireless",1000,Both,Green
Logitech M310,14.99,Laser,Wireless,,Both,Blue
KeyTronic 2MOUSEU1L,12,Optical,Wired,800,Both,Gray
Kensington 64327,38.82,Trackball,Wired,,Both,Silver / Black
Gear Head OM3400U,9.99,Optical,Wired,400,Both,Black
Lenovo 0B47153,19.98,Optical,Wired,1600,Both,Black / Red
Zowie FK2,,Optical,Wired,3200,Both,Black / Yellow
Logitech G303 Daedalus Apex,,Optical,Wired,12000,Right,Black / Orange
ROCCAT Kova RGB,,Optical,Wired,7000,Both,Black
Verbatim 98113 Go Mini Travel Commuter,10.3,Optical,Wired,,Both,Purple
Cooler Master MM710 Glossy White,28.99,Optical,Wired,16000,Right,White
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,Black
AZIO RM-RCM-L-02,104.99,Optical,"Wired, Wireless, Bluetooth Wireless",3000,Both,White / Pink
Pwnage Stormbreaker,,Optical,"Wired, Wireless",26000,Right,Black
ROCCAT KONE Pure Ultra,41.17,Optical,Wired,16000,Right,White
Cooler Master MM711 Blue Steel,29.99,Optical,Wired,16000,Right,Blue
Adesso IMOUSEG1,9.99,Optical,Wired,2400,Both,Black / Blue
Logitech M510,31.99,Laser,Wireless,1000,Right,Blue
Logitech Signature M650 L,39.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,White
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,3200,Right,White
Logitech G500s Laser Gaming Mouse,,Laser,Wired,8200,Right,Black / Silver
Perixx PERIMICE-201P B,9.99,Optical,Wired,800,Both,Black / Silver
Asus ROG Gladius II,,Optical,Wired,12000,Right,Black
Trust GXT 101D GAV,,Optical,Wired,4800,Right,Green / Black
Microsoft Intellimouse Pro - White Shadow,162.44,Optical,Wired,16000,Right,White / Black
Endgame Gear XM1 RGB,40.98,Optical,Wired,16000,Right,White / Black
Cherry MC 1000,14.95,Optical,Wired,1200,Both,Gray
Razer DeathAdder V2 Pro - Genshin Impact Edition,,Optical,"Wired, Wireless, Bluetooth Wireless",20000,Right,Blue / White
Logitech POP Daydream,29.99,Optical,"Wireless, Bluetooth Wireless",4000,Both,Purple / Green
Logitech M220 Silient,14.99,Optical,"Wired, Wireless",1000,Both,Pink
Logitech PEBBLE 2 M350S,24.99,Optical,"Wired, Wireless, Bluetooth Wireless",1000,Both,Pink
GALAX HOF Ace M2,,Optical,"Wired, Wireless",38000,Right,White
Logitech PRO 2 LIGHTSPEED,129.99,Optical,"Wired, Wireless",32000,Both,Pink
Microsoft 4YH-00001,41.24,Optical,Wired,,,Black
Kensington K72369US,22.49,Optical,Wired,,,Black
Razer Orochi 2013,,Laser,Bluetooth Wireless,6400,Both,Black
ROCCAT TYON,,Laser,Wired,8200,Right,Black
Logitech G302 Daedalus Prime Moba,115.88,Optical,Wired,4000,Right,Black / Blue
Genius DX 110,12.47,Optical,Wired,1000,Both,Black
Zowie EC1-A,,Optical,Wired,3200,Right,Black
MSI INTERCEPTOR DS300,,Laser,Wired,8200,Right,Black
Corsair SCIMITAR PRO RGB,,Optical,Wired,16000,Right,Black / Yellow
Alienware AW958,,Optical,Wired,12000,Right,Black / Silver
Razer Lancehead Tournament Edition Mercury,119.99,Optical,Wired,16000,Both,White / Gray
Glorious MODEL O GLOSSY,129,Optical,Wired,12000,Right,White
Adesso iMouse M6,9.52,Optical,Wired,1000,Both,Black
Ducky Feather RGB,,Optical,Wired,16000,Both,Black
ROCCAT Burst Pro,27.99,Optical,Wired,16000,Right,White
GAMDIAS ZEUS E2,,Optical,Wired,3200,Right,Black
Logitech Graphite Signature M550 L,29.99,Optical,Bluetooth Wireless,4000,Both,Gray
Pulsar Xlite V2,,Optical,Wireless,20000,Right,White
Logitech MX Anywhere 3 for Business,,Laser,"Wireless, Bluetooth Wireless",4000,Right,Black
Logitech LIFT,68.59,Optical,"Wireless, Bluetooth Wireless",4000,Left,Black
Pulsar X2H eS,,Optical,"Wired, Wireless",26000,Right,Black / Red
Asus P705 ROG PUGIO II,,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Black
Asus ROG Strix Impact II,,Optical,Wired,6200,Right,White
Adesso iMouse X5,24.99,Optical,Wired,6400,Right,Black
Logitech M220 Silient,14.99,Optical,"Wired, Wireless",1000,Both,Black
Logitech M170,12.99,Optical,"Wired, Wireless",1000,Both,Red / Black
Mad Catz R.A.T. 8+,95.18,Optical,Wired,16000,Right,White / Black
Endgame Gear XM1 RGB,29.99,Optical,Wired,16000,Right,Translucent Black / Black
Razer Atheris,59,Optical,Wireless,7200,Right,White
Cooler Master MM731,55.74,Optical,Wireless,19000,Right,White / Gray
Logitech Lift for Business,69.98,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Logitech LIFT,69.99,Optical,"Wireless, Bluetooth Wireless",4000,Right,White
YEYIAN Sabre 1002,15.99,Optical,Wired,3200,Right,Black
Kensington K72352US,44.77,Trackball,Wireless,,Both,Black
Targus AMU81USZ,10.99,Optical,Wired,1000,,Black
HP QY775AA,10.69,Optical,Wired,800,Both,Black
Microsoft RJN-00001,29.99,Optical,Bluetooth Wireless,,Both,Black
ROCCAT Kain 202 Aimo RGB,129.99,Optical,Wireless,16000,Right,White
Cooler Master MM720 Matte,59.99,Optical,Wired,16000,Right,White
NZXT Lift,65.05,Optical,Wired,16000,Right,White / Black
Razer Basilisk V3 Pro 35K,159.99,Optical,,35000,Right,White
Kensington SlimBlade,136.65,Trackball,Wired,,,Black
Logitech G300,107.28,Optical,Wired,2500,Both,Black / Gray
Belkin F5M010QBLK,8.94,Optical,Wired,800,Both,Black
Logitech M325,19.92,Optical,Wireless,,,Purple / Black
Razer DeathAdder World of Tanks,69.98,Optical,Wired,6400,Right,Black / Orange
SHARKOON SHARK Force,,Optical,Wired,1600,Right,White
Cougar Minos X2,,Optical,Wired,3000,Right,Black
Logitech M325c Himalayan Fern,14.6,Optical,Wireless,1000,Both,Silver / Black
Verbatim 70243,20.75,Laser,Wireless,1600,Right,Red / Black
Logitech ERGO M575,39.99,Optical,"Wired, Wireless, Bluetooth Wireless",2000,Right,White / Blue
SteelSeries Aerox 3,95.15,Optical,Wired,8500,Right,Black
Logitech M510,45.96,Laser,Wireless,1000,Right,Red
Logitech MX ANYWHERE 3,99.99,Laser,"Wired, Wireless, Bluetooth Wireless",4000,Right,Gray
AZIO RM-RCM-L-03,104.99,Optical,"Wired, Wireless, Bluetooth Wireless",3000,Both,Black / Pink
HP 150,,Optical,"Wired, Wireless",1600,Both,Black
Logitech G Pro League of Legends,89,Optical,"Wired, Wireless",25600,Both,Black / Gold
YEYIAN Sabre 1000,15.99,Optical,Wired,3200,Right,Black
Logitech G700,,Laser,Wireless,5700,Right,Black
Logitech Performance,,Laser,Wireless,,Right,Black
Lenovo 06P4069,16.95,Optical,Wired,400,Both,Black
Razer Naga Hex,,Laser,Wired,5600,Right,Black / Green
SteelSeries Sensei RAW,,Laser,Wired,5700,Both,Black
HP QY777AA,8.99,Optical,Wired,800,Both,Black
Razer Ouroboros,,Laser,Wireless,8200,Both,Black
Corsair M65 RGB,,Laser,Wired,8200,Right,Black
Kensington K72392US,20.78,Optical,Wireless,1000,Both,Black
MSI Interceptor DS B1,,Optical,Wired,1600,Right,Black / Red
G.Skill RIPJAWS MX780,,Laser,Wired,8200,Both,Black
Genius NX-7000,,Laser,Wireless,1200,Both,Black / White
SteelSeries Rival 300,,Optical,Wired,6500,Right,Black
SHARKOON SHARK Force,,Optical,Wired,1600,Right,Black
Corsair GLAIVE RGB Aluminum,,Optical,Wired,16000,Right,Black
Logitech MX MASTER 2S (White),,Laser,Wireless,4000,Right,White
ROCCAT Kone AIMO,,Optical,Wired,12000,Right,Gray
Zowie EC1-B,,Optical,Wired,3200,Right,Black / Red
Mad Catz The Authentic R.A.T 6+,62.19,Optical,Wired,12000,Right,Black
MSI CLUTCH GM50,,Optical,Wired,7200,Right,Black
Logitech M170,12.99,Optical,"Wired, Wireless",1000,Both,Blue / Black
Verbatim 98113,8.99,Optical,Wired,,Both,Black
Verbatim 98618 Mini Travel Mouse Commuter,8.99,Optical,Wired,,Both,Pink
Redragon MIRAGE,,Optical,Wireless,4800,Right,Red / Black
G-Wolves HT-M 3360 Red,,Optical,Wired,12000,Right,Red
Glorious MODEL D GLOSSY,49.99,Optical,Wired,12000,Right,White
HP HyperX Pulsefire Dart,,Optical,Wireless,16000,Right,Black
NZXT Lift,,Optical,Wired,16000,Right,White / Cyan
ADATA XPG PRIMER,29.23,Optical,Wired,12000,Right,Black
Adesso iMouse M60,11.69,Optical,"Wired, Wireless",1200,Both,Black
Logitech Signature M650 L,34.49,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Red / Black
Logitech M170,,Optical,"Wired, Wireless",1000,Both,Pink
YEYIAN Links 3000,22.99,Optical,Wired,7200,Right,Black
EVGA X20,65.62,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Gray / Black
ADATA XPG ALPHA,28.98,Optical,Wired,16000,Right,Black
Logitech Signature M650,34.39,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Mad Catz M.O.J.O. M1,29.99,Optical,Wired,12000,Right,Black
Kensington 64325,63.34,Trackball,Wired,,Both,Black
HP 430,38.48,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Microsoft U7Z-00021,25.25,Laser,Wireless,,Both,Pink
Verbatim 98590,16.67,Optical,Bluetooth Wireless,1600,Both,Black
Adesso iMouse S80B,16.98,Optical,Wireless,1600,Right,Black
Verbatim 99780 Silent Wireless Blue Led,25.16,Optical,Wireless,,Both,Red / Black
Logitech M191 Full-Size,13.51,Optical,Wireless,1000,Both,Black / Gray
Logitech ‎MX Master 3 for Mac,104.99,Optical,"Wireless, Bluetooth Wireless",4000,Right,Black / Gray
HP OMEN Vector,,Optical,Wired,16000,Right,Black
UtechSmart US-D5700-GM,27.99,Laser,Wired,5700,Right,Multicolor
Thermaltake SAPHIRA Team DK Edition,19.98,Optical,Wired,3500,Right,White / Red
Logitech M330 SILENT PLUS,19.98,Optical,Wireless,1000,Right,Gray / Yellow
Asus TUF Gaming M5,,Optical,Wired,6200,Right,Silver
RIOTORO URUZ Z5 Classic RGB,,Optical,Wired,4000,Right,Black
Verbatim 98616 Go Mini Travel Commuter,8.99,Optical,Wired,,Both,Blue
Xtrfy M4 RGB,58.01,Optical,Wired,16000,Right,Black
Kensington Pro Fit,29.01,Optical,Wireless,1600,Right,Gray / White
Thermaltake Level 20 RGB,69.98,Optical,Wired,16000,Both,Black
Endgame Gear XM1 RGB,50.98,Optical,Wired,16000,Right,Transparent / Black
Asus TUF GAMING x Demon Slayer L.E. Tanjiro Kamado,45.87,Optical,Wired,7000,Right,Black / Green
Xtrfy M4 RGB,65,Optical,Wired,16000,Right,White
Logitech POP Blast,27.97,Optical,"Wireless, Bluetooth Wireless",4000,Both,Yellow / Black
Lenovo Go,58.49,Optical,"Wired, Wireless",2400,Right,Black / Brown
Corsair M75 AIR Launch Edition,149.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Yellow
Microsoft Basic,,Optical,Wired,,Both,Black
Microsoft Mobile Mouse 3500,64.97,Optical,Wireless,,Both,Gray
Microsoft D5D-00008,95,Optical,Wireless,,Both,White
Targus AMU80US,14.93,Optical,Wired,,,Black
HP EY703AA,11.99,Optical,Wired,400,,Black
Evoluent VM4S,89.95,Optical,Wired,,,Purple
Verbatim Easy Riser,12.99,Laser,Wireless,,Both,Silver
Rude Gamewear Fierce,23.99,Laser,Wired,5000,Both,Black
SteelSeries Sensei,,Laser,Wired,11400,Both,Gray
Corsair Vengeance M65,,Laser,Wired,8200,,Green
Corsair Vengeance M65,,Laser,Wired,8200,Right,Black
Logitech G400s,,Optical,Wired,4000,Right,Black
Verbatim Wireless Multi-Trac Blue LED Optical Mouse,13.99,Optical,Wireless,,Right,Red
Cherry JW-T0100,,Laser,Wireless,1750,Both,Black
Razer Naga Epic Chroma,,Laser,Wireless,8200,Right,Multicolor
Logitech MX Anywhere 2,74.98,Laser,Wireless,1600,Right,Black / Gold
Corsair SABRE RGB,,Laser,Wired,8200,Right,Black
MSI INTERCEPTOR DS200,,Laser,Wired,16400,Right,Black / Red
SteelSeries Rival 100,,Optical,Wired,4000,Right,Gold
Corsair Scimitar RGB,,Optical,Wired,12000,Right,Black
SteelSeries Rival 700,,Optical,Wired,16000,Right,Black
Razer Naga Hex V2,,Laser,Wired,16000,Right,Black / Green
Logitech G102 Prodigy,,Optical,Wired,6000,Right,Black
Asus ROG Pugio,,Optical,Wired,7200,Both,Black
Microsoft Sculpt Ergonomic,77.98,Laser,Wireless,,Right,Black / Blue
Adesso iMouse S60B,14.99,Optical,Wireless,1600,Right,Black / Silver
Razer Lancehead Tournament Edition,141.08,Optical,Wired,16000,Both,Gray
Zowie S1,,Optical,Wired,3200,Right,Black
IOGEAR Kaliber Gaming FOKUS II Pro,48.57,Optical,Wired,12000,Both,Black / Green
Mad Catz The Authentic R.A.T. 2+,23.23,Optical,Wired,5000,Both,Black
Corsair M55 RGB PRO,,Optical,Wired,12400,Both,White / Gray
Adesso iMouse G2,16.98,Optical,Wired,2400,Right,Black
Trust GXT 188 Laban RGB,,Optical,Wired,15000,Right,Black
Rosewill RWM-001,14.99,Optical,Wireless,1200,Both,Black
G-Wolves HT-M 3360 Black,,Optical,Wired,12000,Right,Black
Zelotes C-18,,Optical,Wired,10000,Right,Black
HAVIT HV-MS735,,Optical,Wired,12000,Right,Black
SPC Gear LIX,,Optical,Wired,8000,Right,Black
Asus P702 ROG GLADIUS II WIRELESS,,Optical,Wireless,16000,Right,Black / Red
Gigabyte AORUS M2,,Optical,Wired,6200,Both,Black
UtechSmart Venus Pro RGB,,Optical,Wireless,16000,Right,Black
Pulsar Xlite V2,,Optical,Wireless,20000,Right,Blue
Xtrfy M42 RGB,65,Optical,,16000,Right,Blue
Pulsar X2,,Optical,"Wired, Wireless",26000,Right,Black
Zowie ZA13-C,,Optical,Wired,3200,Right,Black
SteelSeries Prime Mini,36.5,Optical,Wired,18000,Right,Black
Logitech PEBBLE M350,22.96,Optical,"Wired, Wireless, Bluetooth Wireless",1000,Both,White
Logitech M325S,14.99,Optical,"Wired, Wireless",1000,Both,Silver / Black
Logitech MX ANYWHERE 2S,99.9,Laser,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Mionix Castor Pro,69.98,Optical,Wired,19000,Right,Black
MSI Clutch GM11,,Optical,Wired,5000,Right,White
JLab JBuds,34.99,Optical,"Wired, Wireless, Bluetooth Wireless",2400,Right,Black
Razer Basilisk V3 35K,79.98,Optical,Wired,35000,Right,Black
NZXT Lift 2 Starfield,54.99,Optical,Wired,26000,Right,White / Blue
Adesso GP-160UB,49.79,Touchpad,Wired,,Both,Black
Microsoft 4YH-00006,,Optical,Wired,800,Both,White
ROCCAT Kain 200 Aimo RGB,169.79,Optical,Wireless,16000,Right,Black
ROCCAT KONE Pure Ultra,59.99,Optical,Wired,16000,Right,Black
Verbatim 70706,12.99,Optical,Wireless,1000,Both,Red / Black
Logitech Wireless Mouse M525,79.78,Optical,Wireless,,Both,Black / Gray
Zalman GM3,20.2,Laser,Wired,8200,Right,Black / Silver
HP Touch to Pair,79.98,Laser,Bluetooth Wireless,1600,Both,Multicolor
Cooler Master MM830,89.99,Optical,Wired,24000,Right,Black
Targus W571,15.99,Optical,Bluetooth Wireless,1600,Both,Black
Microsoft Arc,139,Optical,"Wired, Wireless, Bluetooth Wireless",1000,Both,Green
Logitech POP Heartbreaker,29.99,Optical,"Wireless, Bluetooth Wireless",4000,Both,Pink / Red
Asus TUF GAMING M3,56.76,Optical,Wired,7000,Right,
Logitech M305,99.95,Optical,Wireless,1000,Both,Black / Gold
Rosewill RGM-300,,Optical,Wired,1000,Right,Black
Logitech M325 Spontaneous Pink,49.99,Optical,Wireless,1000,Both,Pink
Genius NX-7000,,Laser,Wireless,1200,Both,Black / Red
Glorious MODEL O GLOSSY,79.54,Optical,Wired,12000,Right,Black
Adesso iMouse E10,39.99,Optical,Wireless,1600,Right,Black
Adesso iMouse E7,33,Optical,Wired,6400,Left,Black
Verbatim 99781 Commuter,9.99,Optical,Wireless,,Both,Purple
HP Pulsefire Dart,,Optical,Wireless,16000,Right,Black
Evoluent VMDMW VerticalMouse D Medium,114.95,Laser,Wireless,1600,Right,Black
Endgame Gear XM1r,59.99,Optical,Wired,19000,Right,White / Gold
Logitech Rose Signature M550,26.99,Optical,Bluetooth Wireless,4000,Both,Pink
Logitech Signature M650 L,,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Pink
NZXT Lift,,Optical,Wired,16000,Right,White / Purple
Pulsar X2H,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Red
Dell MS3320W,27.99,Optical,"Wired, Wireless, Bluetooth Wireless",1600,Both,Gray
HP 250,24.99,Optical,"Wired, Wireless, Bluetooth Wireless",1600,Both,Black
Targus AMW584GL,35.79,Optical,Wireless,,Right,Black / Gray
