name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics
Intel Core 2 Duo E6540,,2,2.33,,Core,65,
Intel Core 2 Duo E6550,,2,2.33,,Core,65,
Intel Core 2 Duo E7200,,2,2.53,,Wolfdale,65,
Intel Core 2 Duo E7400,,2,2.8,,Wolfdale,65,
Intel Core 2 Duo E7400,,2,2.8,,Wolfdale,65,
Intel Core 2 Duo E7500,,2,2.93,,Wolfdale,65,
Intel Core 2 Duo E7500,,2,2.93,,Wolfdale,65,
Intel Core 2 Duo E8190,,2,2.66,,Wolfdale,65,
Intel Core 2 Duo E8200,,2,2.66,,Wolfdale,65,
Intel Core 2 Duo E8200,,2,2.66,,Wolfdale,65,
Intel Core i7-860S,,4,2.53,,Nehalem,82,
Intel Core i7-940,,4,2.93,,Nehalem,130,
Intel Core 2 Quad Q6700,,4,2.66,,Core,100,
Intel Core 2 Quad Q8200,,4,2.33,,Yorkfield,95,
Intel Core 2 Quad Q8200,,4,2.33,,Yorkfield,95,
Intel Core 2 Quad Q8200S,,4,2.33,,Yorkfield,65,
Intel Core 2 Quad Q8300,,4,2.5,,Yorkfield,95,
Intel Core 2 Quad Q8400S,,4,2.66,,Yorkfield,65,
Intel Core 2 Quad Q9400S,,4,2.66,,Yorkfield,65,
Intel Core 2 Quad Q9505,,4,2.83,,Yorkfield,95,
Intel Core 2 Quad Q9550S,,4,2.83,,Yorkfield,65,
Intel Core 2 Extreme QX6700,,4,2.66,,Core,100,
Intel Core 2 Extreme QX6800,,4,2.93,,Core,100,
Intel Core 2 Extreme QX6800,,4,2.93,,Core,100,
Intel Core 2 Extreme QX9775,,4,3.2,,Yorkfield,150,
Intel Core 2 Extreme QX9775,,4,3.2,,Yorkfield,150,
Intel Core 2 Extreme QX9775,,4,3.2,,Yorkfield,150,
AMD Athlon II X4 630,,4,2.8,,K10,95,
AMD Athlon II X2 265,,2,3.2,,K10,65,
AMD Phenom II X3 715 Black,,3,2.8,,K10,95,
AMD Athlon II X3 425,,3,2.7,,K10,95,
AMD Phenom II X2 560 Black,,2,3.3,,K10,80,
AMD Phenom II X4 975,,4,3.6,,K10,125,
AMD Phenom II X4 955,,4,3.2,,K10,125,
AMD Athlon II X2 245,,2,2.9,,K10,65,
AMD Sempron 130,,1,2.6,,K10,45,
Intel Pentium G620T,,2,2.2,,Sandy Bridge,35,Intel HD Graphics
AMD A6-3650,,4,2.6,,Lynx,100,Radeon HD 6530D
AMD Athlon II X2 250,,2,3,,K10,65,
Intel Celeron G555,,2,2.7,,Sandy Bridge,65,Intel HD Graphics
Intel Celeron G1630,,2,2.8,,Ivy Bridge,55,Intel HD Graphics
AMD FX-9370,,8,4.4,4.7,Piledriver,220,
Intel Xeon E5-2660,,8,2.2,3,Sandy Bridge,95,
AMD A6-6420K,,2,4,4.2,Piledriver,65,Radeon HD 8000 Series
Intel Celeron G1850,,2,2.9,,Haswell Refresh,53,Intel HD Graphics
AMD Sempron X2 198,,2,2.5,,Lynx,65,
AMD Sempron X2 198,,2,2.5,,Lynx,65,
AMD A10-6790B,,4,4,,Piledriver,100,Radeon HD 8670D
AMD A4-6320,,2,3.8,4,Piledriver,65,Radeon HD 8370D
AMD A4-3300,,2,2.5,,Lynx,65,Radeon HD 6410D
AMD A4-3400,,2,2.7,,Lynx,65,Radeon HD 6410D
AMD A4-3450,,2,2.9,,Lynx,65,
AMD Athlon II X2 221,,2,2.8,,Lynx,65,
AMD Athlon II X2 221,,2,2.8,,Lynx,65,
AMD Athlon II X4 651,,4,3,,Lynx,100,
AMD Athlon II X4 638,,4,2.7,,Lynx,65,
AMD FX-8320E,,8,3.2,4,Piledriver,95,
AMD FX-8370E,,8,3.3,4.3,Piledriver,95,
Intel Xeon E5-2622 V3,,8,2.4,,Haswell,85,
Intel Xeon E5-2685 V3,,12,2.6,3.3,Haswell,120,
AMD A8-7670K,,4,3.6,3.9,Steamroller,95,Radeon R7 (on-die)
Intel Celeron G3950,,2,3,,Kaby Lake,51,Intel HD Graphics 610
AMD A6-9550,,2,3.8,4,Excavator,65,Radeon R5 (on die)
