name,price,capacity,price_per_gb,type,cache,form_factor,interface
Kingston NV2,54.99,1000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,289.99,4000,0.072,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,206.55,2000,0.103,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,117.99,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,159.99,2000,0.08,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,109.95,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3 Plus,68,1000,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,149,2000,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,89.99,1000,0.09,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,119,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,64.98,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,112.99,2000,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel SSDPEDMD020T401,3937,2000,1.968,SSD,,PCIe,PCIe x4
Samsung 990 Pro,109.99,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,63.99,1000,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,57.59,1000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_Black SN850X,79.54,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,99.99,1000,0.1,SSD,1024,2.5,SATA 6.0 Gb/s
Samsung 990 EVO,139.99,2000,0.07,SSD,,M.2-2280,M.2 PCIe 5.0 X2
TEAMGROUP MP44L,56.99,1000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,479.99,24000,0.02,7200,512,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,74.99,4000,0.019,5400,256,3.5,SATA 6.0 Gb/s
Mushkin Source HC,2377.37,16000,0.149,SSD,,2.5,SATA 6.0 Gb/s
Kingston NV2,37.45,500,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,37.99,512,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4 Plus,1159.5,8000,0.145,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,230,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,309.99,4000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 5.0 X2
TEAMGROUP MP44L,107.99,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,153.97,2000,0.077,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,45,1000,0.045,7200,64,3.5,SATA 6.0 Gb/s
Silicon Power UD90,98.97,2000,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,164.99,2000,0.082,SSD,2048,2.5,SATA 6.0 Gb/s
Crucial T705,636.99,4000,0.159,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 870 QVO,619.99,8000,0.077,SSD,,2.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,78.98,500,0.158,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,96.99,2000,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,115.32,2000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,40.7,500,0.081,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,156.9,2048,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
SK Hynix Platinum P41,166.74,2000,0.083,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM7000,136.99,2000,0.068,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MK3276GSX,9.94,320,0.031,5400,8,2.5,SATA 3.0 Gb/s
Seagate BarraCuda,58.75,1000,0.059,7200,64,3.5,SATA 6.0 Gb/s
Samsung 980,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,399.99,4000,0.1,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 870 Evo,319.99,4000,0.08,SSD,4096,2.5,SATA 6.0 Gb/s
Crucial P3,39.99,500,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,56.99,1000,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,24.99,240,0.104,SSD,,2.5,SATA 6.0 Gb/s
Patriot Viper VP4300 Lite,107.99,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,126.89,8000,0.016,5400,256,3.5,SATA 6.0 Gb/s
Silicon Power A60,53.97,1000,0.054,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,52.99,500,0.106,SSD,512,2.5,SATA 6.0 Gb/s
Crucial T700,139.99,1000,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial T700,205.29,2000,0.103,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Patriot P300,30.99,512,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM790,134.99,2000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,19.98,256,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston Fury Renegade,148.99,2000,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,111.82,2000,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MS30,46.99,1000,0.047,SSD,,M.2-2280,M.2 SATA
Crucial T500,154.99,2000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,80.84,1000,0.081,SSD,1024,2.5,SATA 6.0 Gb/s
Crucial T705,294.99,2000,0.147,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 Pro w/Heatsink,339.99,4000,0.085,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro w/Heatsink,149.99,2000,0.075,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO NH,899.99,8000,0.112,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,64.98,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Kingston KC3000,94.99,1024,0.093,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Pro,569.99,24000,0.024,7200,512,3.5,SATA 6.0 Gb/s
VisionTek QLC,1281.99,8000,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,529.99,24000,0.022,7200,512,3.5,SATA 6.0 Gb/s
Silicon Power UD90,54.99,1000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,84.75,1000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,41.99,1000,0.042,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,58.6,500,0.117,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,150,4000,0.037,7200,256,3.5,SATA 6.0 Gb/s
Intel DC P3608,,4000,,SSD,,PCIe,PCIe x8
Patriot Viper VP4300 Lite,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,28.99,250,0.116,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,229.99,4000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,148,2000,0.074,SSD,2048,2.5,SATA 6.0 Gb/s
Crucial T500,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate SuperSpeed HDD,,1000,,,64,2.5,SATA 6.0 Gb/s
Kingston A400,34.99,480,0.073,SSD,,2.5,SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,184.03,2000,0.092,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,52.99,1000,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7000,81.99,1000,0.082,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD90,219.97,4000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston A400,53.99,960,0.056,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,72.99,4000,0.018,5400,256,3.5,SATA 6.0 Gb/s
Corsair MP600 PRO XT,949.99,8000,0.119,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,15.29,128,0.119,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3,229.99,4000,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M570 HS,199.99,2000,0.1,SSD,4096,M.2-2280,M.2 PCIe 5.0 X4
Kingston Fury Renegade,94.99,1000,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980,79.75,500,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 5,729.99,4000,0.182,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD_Black SN850X,971.95,8000,0.121,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,95.99,2000,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8200 Pro,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_Black SN850X w/Heatsink,159.94,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M482 Eco-Pack,99.99,2000,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X14,185.17,12000,0.015,7200,256,3.5,SATA 6.0 Gb/s
Klevv CRAS C910,56.99,1000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Timetec 35TTFP6PCIE,51.99,1000,0.052,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN570,69.98,1000,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV3,64.99,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,62.99,1000,0.063,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MP44,117.99,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE G50,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MS30,29.99,512,0.059,SSD,,M.2-2280,M.2 SATA
Seagate Barracuda Compute,117.79,8000,0.015,5400,256,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,149.99,1000,0.15,SSD,1024,2.5,SATA 6.0 Gb/s
Samsung 980 Pro w/Heatsink,96.89,1000,0.097,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,264.99,4000,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power P34A60,34.99,512,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot P210,88.99,2000,0.044,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,64.48,2000,0.032,7200,64,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,139.99,4000,0.035,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Green SN350,84.99,2000,0.042,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A55,50.97,1000,0.051,SSD,,2.5,SATA 6.0 Gb/s
Acer Predator GM7000,269.99,4000,0.067,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700 PRO SE,579.99,4000,0.145,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Intel Optane 905P,4900,1500,3.267,SSD,,2.5,U.2
MSI SPATIUM M450,56.98,1000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Leven JPS600,93.99,2000,0.047,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot Burst Elite,12.99,120,0.108,SSD,,2.5,SATA 6.0 Gb/s
Samsung 970 Evo,146.99,1000,0.147,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Patriot P210,27.49,512,0.054,SSD,,2.5,SATA 6.0 Gb/s
Crucial MX500,51.99,500,0.104,SSD,512,2.5,SATA 6.0 Gb/s
Crucial T705,174.99,1000,0.175,SSD,,M.2-2280,M.2 PCIe 5.0 X4
SK Hynix Platinum P41,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE XT,69.98,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,232.99,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705 W/Heatsink,563.99,4000,0.141,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro,258,16000,0.016,7200,256,3.5,SATA 6.0 Gb/s
Seagate FireCuda 530,154.17,2000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 860 Evo,106.15,500,0.212,SSD,512,2.5,SATA 6.0 Gb/s
Crucial BX500,116.59,2000,0.058,SSD,,2.5,SATA 6.0 Gb/s
Samsung 850 Evo,,250,,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,399.99,22000,0.018,7200,512,3.5,SATA 6.0 Gb/s
Samsung 970 Evo,111.94,500,0.224,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M482,109.99,2000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Leven JPS800,98.99,2000,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,53.95,500,0.108,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 750,2488.87,1200,2.074,SSD,,PCIe,PCIe x4
Crucial P5 Plus,185.99,2000,0.093,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,32.99,500,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,59.95,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Vulcan Z,54.99,1000,0.055,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP600 CORE XT,119.99,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P400 Lite,49.99,1000,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf NAS,172.99,8000,0.022,7200,256,3.5,SATA 6.0 Gb/s
Crucial MX500,269.99,4000,0.067,SSD,,2.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,66,1000,0.066,7200,128,3.5,SATA 6.0 Gb/s
Solidigm P44 Pro,188.95,2000,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE G50,105.99,2000,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P400 Lite,97.99,2000,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,,500,,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44L,36.99,500,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS900,52.99,1000,0.053,SSD,,2.5,SATA 6.0 Gb/s
Crucial P5 Plus,143.85,1000,0.144,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,109,250,0.436,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Klevv CRAS C710,52.99,1000,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4
FanXiang S500 Pro,62.98,1000,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket Q4,77.31,1000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S70 Blade,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S70 Blade,179.99,2000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700 W/Heatsink,419.99,4000,0.105,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Patriot P300,94.99,2000,0.047,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MQ01ABD050,14.35,500,0.029,5400,8,2.5,SATA 3.0 Gb/s
Kingston Fury Renegade,270.37,4000,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS Gen4 7300,84.99,1000,0.085,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,137,1000,0.137,SSD,,2.5,SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,126.12,1000,0.126,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700 PRO,279.99,2000,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Lexar NQ790,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33 PRO,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda Pro,182,10000,0.018,7200,256,3.5,SATA 6.0 Gb/s
Corsair MP600 ELITE,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,121.75,2000,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf NAS,94.99,4000,0.024,5400,256,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,96.99,2000,0.048,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue SN550,119.5,1000,0.119,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,72.98,500,0.146,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,18,500,0.036,7200,16,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,379.99,20000,0.019,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,39.99,250,0.16,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M480 PRO,119.99,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP Cardea Zero Z440 Graphene,69.98,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN750,97.99,1000,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 CORE XT,249.99,4000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,23.75,240,0.099,SSD,,2.5,SATA 6.0 Gb/s
Kingston KC3000,65.55,512,0.128,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,219.99,2000,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,25.21,256,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MG07ACA14TE,268.99,14000,0.019,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Blue,51.99,2000,0.026,5400,256,3.5,SATA 6.0 Gb/s
KIOXIA EXCERIA G2,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44,68.98,1000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate EXOS Enterprise,107.99,4000,0.027,7200,128,3.5,SATA 6.0 Gb/s
Samsung 870 QVO,104.99,1000,0.105,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM710,88.74,1000,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P210,16.48,256,0.064,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_Black SN850X w/Heatsink,97.63,1000,0.098,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,39.99,1000,0.04,5400,64,3.5,SATA 6.0 Gb/s
Samsung 850 Evo,,500,,SSD,,2.5,SATA 6.0 Gb/s
Patriot P310,51.99,960,0.054,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Vulcan Z,30.99,512,0.061,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red Plus,99.99,4000,0.025,5400,256,3.5,SATA 6.0 Gb/s
TEAMGROUP T-FORCE G70 PRO Graphene,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV1,49.99,500,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Plus,184.11,10000,0.018,7200,256,3.5,SATA 6.0 Gb/s
TEAMGROUP MS30,96.99,2000,0.048,SSD,,M.2-2280,M.2 SATA
TEAMGROUP Z440 Lite,64.98,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,830.99,8000,0.104,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,19.95,500,0.04,7200,16,3.5,SATA 6.0 Gb/s
MSI SPATIUM M450,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP AX2,49.99,1000,0.05,SSD,,2.5,SATA 6.0 Gb/s
ADATA Legend 800,108.99,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA Legend 800,66.98,1000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A55,30.97,512,0.06,SSD,,2.5,SATA 6.0 Gb/s
Samsung 870 QVO,349.5,4000,0.087,SSD,,2.5,SATA 6.0 Gb/s
Samsung 980,44.99,250,0.18,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda,85.99,4000,0.021,7200,256,3.5,SATA 6.0 Gb/s
Patriot P210,48.99,1000,0.049,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,249.99,10000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,,2000,,5400,64,3.5,SATA 6.0 Gb/s
Kingston KC3000,311,4096,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T500,309.99,4000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel Optane 905P,,1500,,SSD,,PCIe,PCIe x4
Inland Performance Plus,138.97,2000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 ELITE,149.99,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,177.99,2000,0.089,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP700 PRO,179.99,1000,0.18,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Patriot P310,29.99,480,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SE,110,2000,0.055,7200,64,3.5,SATA 6.0 Gb/s
PNY CS900,29.99,500,0.06,SSD,,2.5,SATA 6.0 Gb/s
Intel 660p,75,1020,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial BX500,36.89,480,0.077,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos X18,329.99,18000,0.018,7200,256,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,129.99,6000,0.022,7200,128,3.5,SATA 6.0 Gb/s
Kingston NV3,124.99,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44Q,222.99,4000,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Solidigm P41 Plus,80.49,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SA510,123.99,2000,0.062,SSD,,2.5,SATA 6.0 Gb/s
Acer Predator GM7000,52.99,512,0.103,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X w/Heatsink,929.99,8000,0.116,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33 PRO,103.98,2000,0.052,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,42.99,512,0.084,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf NAS,239.99,12000,0.02,7200,256,3.5,SATA 6.0 Gb/s
TEAMGROUP AX2,92.99,2000,0.046,SSD,,2.5,SATA 6.0 Gb/s
Kingston A400,29.99,120,0.25,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP QX,192.99,4000,0.048,SSD,,2.5,SATA 6.0 Gb/s
SK Hynix Gold P31,85.99,1000,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44Q,109.99,2000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,49,250,0.196,SSD,512,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,82.37,2000,0.041,7200,64,3.5,SATA 6.0 Gb/s
Seagate Desktop HDD,,4000,,5900,64,3.5,SATA 6.0 Gb/s
Western Digital Blue SN580,49.92,250,0.2,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba P300,74.35,1000,0.074,7200,64,3.5,SATA 6.0 Gb/s
Lexar NQ790,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP Cardea A440,129.99,2000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700 W/Heatsink,220.71,2000,0.11,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD_BLACK,179.99,8000,0.022,7200,128,3.5,SATA 6.0 Gb/s
Seagate ST6000NM0024,95,6000,0.016,7200,128,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,17.98,240,0.075,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD Blue,132.34,8000,0.017,5640,256,3.5,SATA 6.0 Gb/s
Patriot Burst Elite,44.99,960,0.047,SSD,,2.5,SATA 6.0 Gb/s
Crucial T705 W/Heatsink,314.99,2000,0.157,SSD,,M.2-2280,M.2 PCIe 5.0 X4
MSI SPATIUM M371,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P2,112.97,1000,0.113,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4 Plus,119.99,1000,0.12,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 540,269.99,2000,0.135,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Black SN750,114.99,500,0.23,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Vulcan Z,,4000,,SSD,,2.5,SATA 6.0 Gb/s
Crucial P1,108,1000,0.108,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Enterprise,133.01,8000,0.017,7200,256,3.5,SATA 6.0 Gb/s
Intel 670p,82.74,1000,0.083,SSD,,M.2-2280,M.2 PCIe 3.0 X4
FanXiang S880,129.99,2000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,129.99,8000,0.016,5640,128,3.5,SATA 6.0 Gb/s
Western Digital Blue SN550,92.98,500,0.186,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,153,5000,0.031,5400,128,2.5,SATA 6.0 Gb/s
Silicon Power P34A60,22.99,256,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P2,83.99,500,0.168,SSD,,M.2-2280,M.2 PCIe 3.0 X4
